TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/28/2021 14:40:03,00:00:01.0756180,09/28/2021 14:40:04,09/28/2021 14:40:05,00:00:00.9011430,First B,yes,Second 2,09/28/2021 14:40:07,09/28/2021 14:40:08,00:00:00.8469610,Second 2 B,70.0%,no,09/28/2021 14:40:11
2,yes,09/28/2021 14:40:11,00:00:00.1315880,09/28/2021 14:40:11,09/28/2021 14:40:12,00:00:00.6796590,First B,yes,Second 2,09/28/2021 14:40:13,09/28/2021 14:40:14,00:00:00.7272270,Second 2 A,30.0%,yes,09/28/2021 14:40:17
3,yes,09/28/2021 14:40:17,00:00:01.6713730,09/28/2021 14:40:18,09/28/2021 14:40:19,00:00:00.6290360,First A,yes,Second 1,09/28/2021 14:40:21,09/28/2021 14:40:21,00:00:00.7767340,Second 1 B,30.0%,yes,09/28/2021 14:40:24
4,yes,09/28/2021 14:40:24,00:00:00.0844550,09/28/2021 14:40:24,09/28/2021 14:40:25,00:00:00.8754510,First B,yes,Second 2,09/28/2021 14:40:27,09/28/2021 14:40:28,00:00:00.8916280,Second 2 A,30.0%,yes,09/28/2021 14:40:31
5,yes,09/28/2021 14:40:31,00:00:01.5622250,09/28/2021 14:40:32,09/28/2021 14:40:33,00:00:00.6583560,First B,no,Second 1,09/28/2021 14:40:35,09/28/2021 14:40:35,00:00:00.7272050,Second 1 A,30.0%,no,09/28/2021 14:40:38
6,yes,09/28/2021 14:40:38,00:00:01.0029090,09/28/2021 14:40:39,09/28/2021 14:40:40,00:00:00.5714310,First B,yes,Second 2,09/28/2021 14:40:41,09/28/2021 14:40:43,00:00:01.2232010,Second 2 B,70.0%,yes,09/28/2021 14:40:46
7,yes,09/28/2021 14:40:46,00:00:00.7644370,09/28/2021 14:40:46,09/28/2021 14:40:47,00:00:00.9108210,First B,no,Second 1,09/28/2021 14:40:49,09/28/2021 14:40:50,00:00:00.7252510,Second 1 A,30.0%,yes,09/28/2021 14:40:53
8,yes,09/28/2021 14:40:53,00:00:00.1192550,09/28/2021 14:40:53,09/28/2021 14:40:53,00:00:00.7909590,First A,yes,Second 1,09/28/2021 14:40:55,09/28/2021 14:40:56,00:00:00.8121610,Second 1 B,30.0%,yes,09/28/2021 14:40:59
9,yes,09/28/2021 14:40:59,00:00:00.3995920,09/28/2021 14:40:59,09/28/2021 14:41:00,00:00:00.9586670,First B,yes,Second 2,09/28/2021 14:41:02,09/28/2021 14:41:02,00:00:00.7927180,Second 2 A,30.0%,no,09/28/2021 14:41:06
10,yes,09/28/2021 14:41:06,00:00:02.2459920,09/28/2021 14:41:08,09/28/2021 14:41:08,00:00:00.6604790,First A,yes,Second 1,09/28/2021 14:41:10,09/28/2021 14:41:11,00:00:00.9928510,Second 1 B,30.0%,no,09/28/2021 14:41:14
