TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/29/2021 11:27:28,00:00:06.8072040,09/29/2021 11:27:35,09/29/2021 11:27:36,00:00:01.2488340,First A,no,Second 1,09/29/2021 11:27:38,09/29/2021 11:27:39,00:00:01.5481840,Second 1 A,30.0%,no,09/29/2021 11:27:42
2,yes,09/29/2021 11:27:42,00:00:06.4789220,09/29/2021 11:27:49,09/29/2021 11:27:50,00:00:01.0497990,First B,yes,Second 1,09/29/2021 11:27:51,09/29/2021 11:27:52,00:00:01.1176630,Second 1 A,30.0%,no,09/29/2021 11:27:55
3,yes,09/29/2021 11:27:55,00:00:00.0501780,09/29/2021 11:27:55,09/29/2021 11:27:56,00:00:00.9635550,First A,yes,Second 2,09/29/2021 11:27:58,09/29/2021 11:27:59,00:00:01.1167610,Second 2 A,30.0%,no,09/29/2021 11:28:02
4,yes,09/29/2021 11:28:02,00:00:04.7660310,09/29/2021 11:28:07,09/29/2021 11:28:08,00:00:00.9495720,First B,yes,Second 1,09/29/2021 11:28:09,09/29/2021 11:28:10,00:00:00.8493010,Second 1 B,30.0%,no,09/29/2021 11:28:13
5,yes,09/29/2021 11:28:13,00:00:11.0964400,09/29/2021 11:28:24,09/29/2021 11:28:25,00:00:00.9000120,First A,yes,Second 2,09/29/2021 11:28:27,09/29/2021 11:28:28,00:00:01.3163130,Second 2 B,70.0%,yes,09/29/2021 11:28:31
6,yes,09/29/2021 11:28:31,00:00:00.2166990,09/29/2021 11:28:31,09/29/2021 11:28:33,00:00:01.3325150,First B,no,Second 2,09/29/2021 11:28:34,09/29/2021 11:28:35,00:00:00.7972810,Second 2 A,30.0%,yes,09/29/2021 11:28:38
7,yes,09/29/2021 11:28:38,00:00:02.2318810,09/29/2021 11:28:40,09/29/2021 11:28:41,00:00:00.8325320,First A,yes,Second 2,09/29/2021 11:28:42,09/29/2021 11:28:43,00:00:01.0491670,Second 2 B,70.0%,no,09/29/2021 11:28:47
8,yes,09/29/2021 11:28:47,00:00:01.3826840,09/29/2021 11:28:48,09/29/2021 11:28:49,00:00:01.2158620,First B,no,Second 2,09/29/2021 11:28:51,09/29/2021 11:28:52,00:00:00.9143080,Second 2 A,30.0%,yes,09/29/2021 11:28:55
9,yes,09/29/2021 11:28:55,00:00:01.3325990,09/29/2021 11:28:56,09/29/2021 11:28:57,00:00:00.9675340,First B,yes,Second 1,09/29/2021 11:28:58,09/29/2021 11:29:00,00:00:01.3674190,Second 1 A,30.0%,yes,09/29/2021 11:29:03
10,yes,09/29/2021 11:29:03,00:00:00.9168330,09/29/2021 11:29:04,09/29/2021 11:29:05,00:00:00.9991670,First B,no,Second 2,09/29/2021 11:29:06,09/29/2021 11:29:07,00:00:00.9169430,Second 2 A,30.0%,yes,09/29/2021 11:29:10
