TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,no,09/29/2021 12:06:41,00:00:01.7915120,09/29/2021 12:06:43,,,,,,,,,,,,09/29/2021 12:06:45
2,yes,09/29/2021 12:06:45,00:00:06.5317080,09/29/2021 12:06:51,09/29/2021 12:06:52,00:00:01.0246360,First B,no,Second 1,09/29/2021 12:06:54,09/29/2021 12:06:54,00:00:00.3213850,Second 1 A,30.0%,yes,09/29/2021 12:06:57
3,yes,09/29/2021 12:06:57,00:00:04.5266870,09/29/2021 12:07:02,09/29/2021 12:07:03,00:00:01.1817780,First B,yes,Second 2,09/29/2021 12:07:04,09/29/2021 12:07:04,00:00:00.1651440,Second 2 A,30.0%,yes,09/29/2021 12:07:07
4,no,09/29/2021 12:07:07,00:00:06.6159730,09/29/2021 12:07:14,,,,,,,,,,,,09/29/2021 12:07:16
5,yes,09/29/2021 12:07:16,00:00:00.4674270,09/29/2021 12:07:17,09/29/2021 12:07:18,00:00:01.3478980,First A,yes,Second 1,09/29/2021 12:07:19,09/29/2021 12:07:21,00:00:01.5149550,Second 1 A,30.0%,no,09/29/2021 12:07:24
6,yes,09/29/2021 12:07:24,00:00:01.1339550,09/29/2021 12:07:25,09/29/2021 12:07:26,00:00:01.2995710,First B,yes,Second 2,09/29/2021 12:07:28,09/29/2021 12:07:28,00:00:00.0669710,Second 2 A,30.0%,no,09/29/2021 12:07:31
7,yes,09/29/2021 12:07:31,00:00:02.0829240,09/29/2021 12:07:33,09/29/2021 12:07:34,00:00:01.3157000,First B,yes,Second 2,09/29/2021 12:07:36,09/29/2021 12:07:36,00:00:00.4466840,Second 2 A,30.0%,no,09/29/2021 12:07:39
8,yes,09/29/2021 12:07:39,00:00:01.2837090,09/29/2021 12:07:41,09/29/2021 12:07:42,00:00:01.3327490,First A,yes,Second 1,09/29/2021 12:07:44,09/29/2021 12:07:44,00:00:00.0320520,Second 1 B,70.0%,yes,09/29/2021 12:07:47
9,yes,09/29/2021 12:07:47,00:00:00.2988470,09/29/2021 12:07:47,09/29/2021 12:07:48,00:00:01.1165360,First B,yes,Second 2,09/29/2021 12:07:50,09/29/2021 12:07:50,00:00:00.1318250,Second 2 A,30.0%,no,09/29/2021 12:07:53
10,yes,09/29/2021 12:07:53,00:00:00.9494110,09/29/2021 12:07:54,09/29/2021 12:07:55,00:00:01.2997940,First B,yes,Second 2,09/29/2021 12:07:56,09/29/2021 12:07:57,00:00:00.1664770,Second 2 A,30.0%,no,09/29/2021 12:08:00
11,yes,09/29/2021 12:08:00,00:00:03.1161420,09/29/2021 12:08:03,09/29/2021 12:08:04,00:00:01.2340840,First A,yes,Second 1,09/29/2021 12:08:06,09/29/2021 12:08:06,00:00:00.0496880,Second 1 A,30.0%,no,09/29/2021 12:08:09
12,yes,09/29/2021 12:08:09,00:00:03.2000330,09/29/2021 12:08:12,09/29/2021 12:08:13,00:00:01.0658270,First A,no,Second 2,09/29/2021 12:08:14,09/29/2021 12:08:15,00:00:00.4320040,Second 2 A,30.0%,no,09/29/2021 12:08:18
13,yes,09/29/2021 12:08:18,00:00:06.3806680,09/29/2021 12:08:24,09/29/2021 12:08:26,00:00:01.4825940,First A,yes,Second 1,09/29/2021 12:08:27,09/29/2021 12:08:27,00:00:00.1665130,Second 1 A,30.0%,no,09/29/2021 12:08:30
14,no,09/29/2021 12:08:30,00:00:03.0330650,09/29/2021 12:08:33,,,,,,,,,,,,09/29/2021 12:08:35
15,yes,09/29/2021 12:08:35,00:00:00.6153870,09/29/2021 12:08:36,09/29/2021 12:08:37,00:00:01.3148580,First B,yes,Second 2,09/29/2021 12:08:39,09/29/2021 12:08:39,00:00:00.4821460,Second 2 A,30.0%,no,09/29/2021 12:08:42
