TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/29/2021 19:41:30,00:00:01.5157370,09/29/2021 19:41:31,09/29/2021 19:41:33,00:00:01.3621540,First A,yes,Second 2,09/29/2021 19:41:34,09/29/2021 19:41:36,00:00:01.3157070,Second 2 B,30.0%,no,09/29/2021 19:41:39
2,yes,09/29/2021 19:41:39,00:00:00.3642490,09/29/2021 19:41:39,09/29/2021 19:41:41,00:00:01.4980340,First A,yes,Second 2,09/29/2021 19:41:42,09/29/2021 19:41:43,00:00:01.1991470,Second 2 A,30.0%,no,09/29/2021 19:41:46
3,yes,09/29/2021 19:41:46,00:00:00.4666110,09/29/2021 19:41:47,09/29/2021 19:41:48,00:00:00.9988000,First A,yes,Second 2,09/29/2021 19:41:49,09/29/2021 19:41:51,00:00:01.3667250,Second 2 A,30.0%,yes,09/29/2021 19:41:54
4,yes,09/29/2021 19:41:54,00:00:03.7127690,09/29/2021 19:41:57,09/29/2021 19:41:59,00:00:01.1833340,First A,yes,Second 2,09/29/2021 19:42:00,09/29/2021 19:42:01,00:00:00.6862210,Second 2 A,30.0%,no,09/29/2021 19:42:04
5,yes,09/29/2021 19:42:04,00:00:00.0851360,09/29/2021 19:42:04,09/29/2021 19:42:06,00:00:01.6810400,First B,no,Second 2,09/29/2021 19:42:07,09/29/2021 19:42:08,00:00:00.7617200,Second 2 A,30.0%,no,09/29/2021 19:42:11
6,yes,09/29/2021 19:42:11,00:00:07.7470840,09/29/2021 19:42:19,09/29/2021 19:42:20,00:00:00.9483280,First A,no,Second 1,09/29/2021 19:42:21,09/29/2021 19:42:22,00:00:00.9809210,Second 1 A,70.0%,no,09/29/2021 19:42:25
7,yes,09/29/2021 19:42:25,00:00:00.0983290,09/29/2021 19:42:25,09/29/2021 19:42:26,00:00:00.5337960,First A,yes,Second 2,09/29/2021 19:42:27,09/29/2021 19:42:28,00:00:01.0842000,Second 2 B,30.0%,yes,09/29/2021 19:42:31
8,yes,09/29/2021 19:42:31,00:00:00.9967710,09/29/2021 19:42:32,09/29/2021 19:42:34,00:00:01.2177350,First A,yes,Second 2,09/29/2021 19:42:35,09/29/2021 19:42:36,00:00:00.6827720,Second 2 B,30.0%,no,09/29/2021 19:42:39
9,yes,09/29/2021 19:42:39,00:00:01.0141190,09/29/2021 19:42:40,09/29/2021 19:42:41,00:00:00.6853330,First A,yes,Second 2,09/29/2021 19:42:42,09/29/2021 19:42:43,00:00:00.7658010,Second 2 A,30.0%,no,09/29/2021 19:42:46
10,no,09/29/2021 19:42:46,00:00:08.2440610,09/29/2021 19:42:54,09/29/2021 19:42:55,00:00:01.1827460,First A,yes,Second 2,09/29/2021 19:42:57,,,,,,09/29/2021 19:42:59
11,yes,09/29/2021 19:42:59,00:00:00.7002240,09/29/2021 19:43:00,09/29/2021 19:43:01,00:00:01.3115860,First A,yes,Second 2,09/29/2021 19:43:02,09/29/2021 19:43:03,00:00:00.6664520,Second 2 B,30.0%,no,09/29/2021 19:43:06
12,yes,09/29/2021 19:43:06,00:00:00.5680120,09/29/2021 19:43:07,09/29/2021 19:43:08,00:00:01.0984000,First B,yes,Second 1,09/29/2021 19:43:09,09/29/2021 19:43:10,00:00:00.9836330,Second 1 A,70.0%,yes,09/29/2021 19:43:13
13,yes,09/29/2021 19:43:13,00:00:00.1176390,09/29/2021 19:43:13,09/29/2021 19:43:15,00:00:01.1478910,First B,yes,Second 1,09/29/2021 19:43:16,09/29/2021 19:43:17,00:00:00.7827840,Second 1 A,70.0%,yes,09/29/2021 19:43:20
14,yes,09/29/2021 19:43:20,00:00:00.9314610,09/29/2021 19:43:21,09/29/2021 19:43:22,00:00:01.0184860,First B,yes,Second 1,09/29/2021 19:43:23,09/29/2021 19:43:24,00:00:00.6145590,Second 1 A,70.0%,no,09/29/2021 19:43:27
15,yes,09/29/2021 19:43:27,00:00:00.8226970,09/29/2021 19:43:28,09/29/2021 19:43:29,00:00:01.5585500,First A,yes,Second 2,09/29/2021 19:43:31,09/29/2021 19:43:32,00:00:00.7948540,Second 2 B,30.0%,no,09/29/2021 19:43:35
16,yes,09/29/2021 19:43:35,00:00:01.9821500,09/29/2021 19:43:37,09/29/2021 19:43:37,00:00:00.8318150,First B,yes,Second 1,09/29/2021 19:43:39,09/29/2021 19:43:40,00:00:00.9819100,Second 1 B,30.0%,no,09/29/2021 19:43:43
17,yes,09/29/2021 19:43:43,00:00:04.2298980,09/29/2021 19:43:47,09/29/2021 19:43:48,00:00:01.1170170,First B,no,Second 2,09/29/2021 19:43:50,09/29/2021 19:43:51,00:00:01.3317910,Second 2 A,30.0%,no,09/29/2021 19:43:54
18,yes,09/29/2021 19:43:54,00:00:02.0845340,09/29/2021 19:43:56,09/29/2021 19:43:57,00:00:01.0302750,First A,no,Second 1,09/29/2021 19:43:59,09/29/2021 19:44:00,00:00:01.5155550,Second 1 B,30.0%,no,09/29/2021 19:44:03
19,yes,09/29/2021 19:44:03,00:00:00.0658870,09/29/2021 19:44:03,09/29/2021 19:44:05,00:00:01.3805220,First B,yes,Second 1,09/29/2021 19:44:06,09/29/2021 19:44:07,00:00:00.6661160,Second 1 A,70.0%,yes,09/29/2021 19:44:10
20,yes,09/29/2021 19:44:10,00:00:03.7995890,09/29/2021 19:44:14,09/29/2021 19:44:15,00:00:00.6869160,First B,yes,Second 1,09/29/2021 19:44:16,09/29/2021 19:44:17,00:00:00.6532330,Second 1 A,70.0%,yes,09/29/2021 19:44:20
21,yes,09/29/2021 19:44:20,00:00:00.9518410,09/29/2021 19:44:21,09/29/2021 19:44:21,00:00:00.7814060,First A,no,Second 1,09/29/2021 19:44:23,09/29/2021 19:44:25,00:00:01.6851780,Second 1 B,30.0%,no,09/29/2021 19:44:28
22,yes,09/29/2021 19:44:28,00:00:02.8938770,09/29/2021 19:44:31,09/29/2021 19:44:32,00:00:01.1447230,First A,no,Second 1,09/29/2021 19:44:33,09/29/2021 19:44:34,00:00:01.0143700,Second 1 A,70.0%,no,09/29/2021 19:44:37
23,yes,09/29/2021 19:44:37,00:00:00.1663020,09/29/2021 19:44:37,09/29/2021 19:44:38,00:00:00.5685010,First A,no,Second 1,09/29/2021 19:44:40,09/29/2021 19:44:41,00:00:01.3664710,Second 1 B,30.0%,yes,09/29/2021 19:44:44
24,yes,09/29/2021 19:44:44,00:00:00.4991540,09/29/2021 19:44:44,09/29/2021 19:44:45,00:00:01.0163010,First A,yes,Second 2,09/29/2021 19:44:47,09/29/2021 19:44:48,00:00:01.4145500,Second 2 B,30.0%,yes,09/29/2021 19:44:51
25,yes,09/29/2021 19:44:51,00:00:00.2168260,09/29/2021 19:44:52,09/29/2021 19:44:53,00:00:01.2649730,First A,yes,Second 2,09/29/2021 19:44:54,09/29/2021 19:44:55,00:00:00.6697130,Second 2 B,30.0%,no,09/29/2021 19:44:58
26,yes,09/29/2021 19:44:58,00:00:07.0274710,09/29/2021 19:45:05,09/29/2021 19:45:06,00:00:00.8654220,First A,no,Second 1,09/29/2021 19:45:08,09/29/2021 19:45:09,00:00:01.0303670,Second 1 A,70.0%,yes,09/29/2021 19:45:12
27,yes,09/29/2021 19:45:12,00:00:08.4137550,09/29/2021 19:45:20,09/29/2021 19:45:21,00:00:01.4693260,First B,yes,Second 1,09/29/2021 19:45:23,09/29/2021 19:45:24,00:00:01.3466660,Second 1 B,30.0%,yes,09/29/2021 19:45:27
28,yes,09/29/2021 19:45:27,00:00:01.3505270,09/29/2021 19:45:29,09/29/2021 19:45:30,00:00:01.2994990,First A,yes,Second 2,09/29/2021 19:45:32,09/29/2021 19:45:32,00:00:00.8795960,Second 2 A,30.0%,no,09/29/2021 19:45:35
