TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/29/2021 19:49:23,00:00:01.8235660,09/29/2021 19:49:25,09/29/2021 19:49:26,00:00:01.2802080,First A,yes,Second 1,09/29/2021 19:49:27,09/29/2021 19:49:28,00:00:01.1007070,Second 1 A,30.0%,no,09/29/2021 19:49:31
2,yes,09/29/2021 19:49:31,00:00:00.8805000,09/29/2021 19:49:32,09/29/2021 19:49:33,00:00:01.0857250,First A,yes,Second 1,09/29/2021 19:49:35,09/29/2021 19:49:36,00:00:01.1954150,Second 1 B,30.0%,no,09/29/2021 19:49:39
3,yes,09/29/2021 19:49:39,00:00:02.2628390,09/29/2021 19:49:41,09/29/2021 19:49:43,00:00:01.1356440,First A,no,Second 2,09/29/2021 19:49:44,09/29/2021 19:49:45,00:00:01.3137120,Second 2 A,30.0%,no,09/29/2021 19:49:48
4,yes,09/29/2021 19:49:48,00:00:02.7004440,09/29/2021 19:49:51,09/29/2021 19:49:52,00:00:01.2282170,First A,no,Second 2,09/29/2021 19:49:54,09/29/2021 19:49:55,00:00:01.2655580,Second 2 B,70.0%,yes,09/29/2021 19:49:58
5,yes,09/29/2021 19:49:58,00:00:02.0811670,09/29/2021 19:50:00,09/29/2021 19:50:01,00:00:01.0318410,First A,yes,Second 1,09/29/2021 19:50:03,09/29/2021 19:50:04,00:00:00.9938700,Second 1 A,30.0%,no,09/29/2021 19:50:07
6,yes,09/29/2021 19:50:07,00:00:02.5999980,09/29/2021 19:50:09,09/29/2021 19:50:10,00:00:01.0304110,First A,no,Second 2,09/29/2021 19:50:12,09/29/2021 19:50:13,00:00:01.0792700,Second 2 B,70.0%,yes,09/29/2021 19:50:16
7,yes,09/29/2021 19:50:16,00:00:02.1621700,09/29/2021 19:50:18,09/29/2021 19:50:19,00:00:01.1169130,First A,yes,Second 1,09/29/2021 19:50:21,09/29/2021 19:50:22,00:00:01.2123230,Second 1 A,30.0%,no,09/29/2021 19:50:25
8,yes,09/29/2021 19:50:25,00:00:08.3094310,09/29/2021 19:50:33,09/29/2021 19:50:35,00:00:01.2486090,First A,yes,Second 1,09/29/2021 19:50:36,09/29/2021 19:50:37,00:00:01.0480120,Second 1 A,30.0%,no,09/29/2021 19:50:40
9,yes,09/29/2021 19:50:40,00:00:00.0654490,09/29/2021 19:50:40,09/29/2021 19:50:42,00:00:01.2471030,First B,yes,Second 2,09/29/2021 19:50:43,09/29/2021 19:50:44,00:00:01.1962350,Second 2 B,70.0%,no,09/29/2021 19:50:47
10,yes,09/29/2021 19:50:47,00:00:00.7493400,09/29/2021 19:50:48,09/29/2021 19:50:49,00:00:01.2483530,First B,yes,Second 2,09/29/2021 19:50:51,09/29/2021 19:50:52,00:00:01.1637830,Second 2 A,30.0%,no,09/29/2021 19:50:55
11,yes,09/29/2021 19:50:55,00:00:05.2425370,09/29/2021 19:51:00,09/29/2021 19:51:02,00:00:01.2671530,First B,yes,Second 2,09/29/2021 19:51:03,09/29/2021 19:51:05,00:00:01.8149890,Second 2 A,30.0%,yes,09/29/2021 19:51:08
12,yes,09/29/2021 19:51:08,00:00:01.8651920,09/29/2021 19:51:10,09/29/2021 19:51:11,00:00:01.0987000,First B,yes,Second 2,09/29/2021 19:51:12,09/29/2021 19:51:14,00:00:01.1914750,Second 2 A,30.0%,yes,09/29/2021 19:51:17
13,yes,09/29/2021 19:51:17,00:00:03.9618200,09/29/2021 19:51:21,09/29/2021 19:51:22,00:00:01.4801890,First B,no,Second 1,09/29/2021 19:51:24,09/29/2021 19:51:25,00:00:01.0812120,Second 1 A,30.0%,yes,09/29/2021 19:51:28
14,yes,09/29/2021 19:51:28,00:00:02.4495460,09/29/2021 19:51:30,09/29/2021 19:51:31,00:00:01.2986530,First B,yes,Second 2,09/29/2021 19:51:33,09/29/2021 19:51:34,00:00:01.3624430,Second 2 A,30.0%,yes,09/29/2021 19:51:37
15,yes,09/29/2021 19:51:37,00:00:02.3149480,09/29/2021 19:51:40,09/29/2021 19:51:41,00:00:01.2124290,First B,yes,Second 2,09/29/2021 19:51:42,09/29/2021 19:51:44,00:00:01.2486670,Second 2 B,70.0%,yes,09/29/2021 19:51:47
16,yes,09/29/2021 19:51:47,00:00:01.7692210,09/29/2021 19:51:48,09/29/2021 19:51:50,00:00:01.1610950,First B,yes,Second 2,09/29/2021 19:51:51,09/29/2021 19:51:52,00:00:01.1819280,Second 2 A,30.0%,yes,09/29/2021 19:51:55
17,yes,09/29/2021 19:51:55,00:00:00.1147570,09/29/2021 19:51:55,09/29/2021 19:51:57,00:00:01.2135090,First B,yes,Second 2,09/29/2021 19:51:58,09/29/2021 19:51:59,00:00:01.1967100,Second 2 A,30.0%,no,09/29/2021 19:52:02
18,yes,09/29/2021 19:52:02,00:00:03.3812250,09/29/2021 19:52:06,09/29/2021 19:52:07,00:00:01.2005240,First B,no,Second 1,09/29/2021 19:52:09,09/29/2021 19:52:10,00:00:01.4813320,Second 1 A,30.0%,no,09/29/2021 19:52:13
19,yes,09/29/2021 19:52:13,00:00:01.3687260,09/29/2021 19:52:14,09/29/2021 19:52:16,00:00:01.1591500,First B,yes,Second 2,09/29/2021 19:52:17,09/29/2021 19:52:18,00:00:01.2645970,Second 2 A,30.0%,no,09/29/2021 19:52:21
20,yes,09/29/2021 19:52:21,00:00:02.0527440,09/29/2021 19:52:23,09/29/2021 19:52:25,00:00:01.2346650,First B,no,Second 1,09/29/2021 19:52:26,09/29/2021 19:52:28,00:00:01.4479050,Second 1 A,30.0%,no,09/29/2021 19:52:31
21,yes,09/29/2021 19:52:31,00:00:02.8319820,09/29/2021 19:52:33,09/29/2021 19:52:35,00:00:01.2951160,First B,yes,Second 2,09/29/2021 19:52:36,09/29/2021 19:52:38,00:00:01.2143420,Second 2 A,30.0%,yes,09/29/2021 19:52:41
22,yes,09/29/2021 19:52:41,00:00:00.4017300,09/29/2021 19:52:41,09/29/2021 19:52:42,00:00:01.2648850,First B,no,Second 1,09/29/2021 19:52:44,09/29/2021 19:52:45,00:00:01.2004380,Second 1 A,30.0%,no,09/29/2021 19:52:48
23,yes,09/29/2021 19:52:48,00:00:00.3992110,09/29/2021 19:52:48,09/29/2021 19:52:50,00:00:01.2133950,First B,yes,Second 2,09/29/2021 19:52:51,09/29/2021 19:52:52,00:00:01.1616700,Second 2 A,30.0%,no,09/29/2021 19:52:55
24,yes,09/29/2021 19:52:55,00:00:01.5484500,09/29/2021 19:52:57,09/29/2021 19:52:58,00:00:01.1134770,First B,yes,Second 2,09/29/2021 19:52:59,09/29/2021 19:53:00,00:00:00.9477000,Second 2 A,30.0%,yes,09/29/2021 19:53:03
25,no,09/29/2021 19:53:03,,,,,,,,,,,,,,01/01/0001 00:00:00
26,yes,09/29/2021 19:53:07,00:00:03.5522390,09/29/2021 19:53:11,09/29/2021 19:53:12,00:00:01.1241460,First B,yes,Second 2,09/29/2021 19:53:13,09/29/2021 19:53:14,00:00:00.9463170,Second 2 A,30.0%,no,09/29/2021 19:53:17
27,yes,09/29/2021 19:53:17,00:00:00.1872080,09/29/2021 19:53:17,09/29/2021 19:53:18,00:00:01.0150070,First B,no,Second 1,09/29/2021 19:53:20,09/29/2021 19:53:21,00:00:01.0148290,Second 1 A,30.0%,no,09/29/2021 19:53:24
