TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/29/2021 19:54:42,00:00:00.0341870,09/29/2021 19:54:42,09/29/2021 19:54:43,00:00:01.2156530,First A,yes,Second 1,09/29/2021 19:54:44,09/29/2021 19:54:45,00:00:01.1380430,Second 1 B,30.0%,no,09/29/2021 19:54:48
2,yes,09/29/2021 19:54:48,00:00:04.0635030,09/29/2021 19:54:53,09/29/2021 19:54:54,00:00:01.0143910,First A,yes,Second 1,09/29/2021 19:54:55,09/29/2021 19:54:56,00:00:01.1306550,Second 1 B,30.0%,yes,09/29/2021 19:54:59
3,yes,09/29/2021 19:54:59,00:00:00.7628440,09/29/2021 19:55:00,09/29/2021 19:55:01,00:00:01.0990580,First A,no,Second 2,09/29/2021 19:55:03,09/29/2021 19:55:04,00:00:01.3141850,Second 2 A,30.0%,yes,09/29/2021 19:55:07
4,yes,09/29/2021 19:55:07,00:00:01.6498260,09/29/2021 19:55:09,09/29/2021 19:55:10,00:00:01.1616030,First A,no,Second 2,09/29/2021 19:55:11,09/29/2021 19:55:13,00:00:01.2652930,Second 2 B,30.0%,no,09/29/2021 19:55:16
5,yes,09/29/2021 19:55:16,00:00:03.0147650,09/29/2021 19:55:19,09/29/2021 19:55:20,00:00:01.1190720,First A,no,Second 2,09/29/2021 19:55:21,09/29/2021 19:55:22,00:00:01.1807330,Second 2 B,30.0%,no,09/29/2021 19:55:25
6,yes,09/29/2021 19:55:25,00:00:00.0649720,09/29/2021 19:55:26,09/29/2021 19:55:27,00:00:01.0304980,First A,yes,Second 1,09/29/2021 19:55:28,09/29/2021 19:55:29,00:00:01.1468830,Second 1 B,30.0%,yes,09/29/2021 19:55:32
7,yes,09/29/2021 19:55:32,00:00:01.3990090,09/29/2021 19:55:34,09/29/2021 19:55:35,00:00:01.0659810,First A,no,Second 2,09/29/2021 19:55:36,09/29/2021 19:55:37,00:00:01.2467810,Second 2 A,30.0%,no,09/29/2021 19:55:40
8,yes,09/29/2021 19:55:40,00:00:00.0313270,09/29/2021 19:55:41,09/29/2021 19:55:41,00:00:00.9650510,First A,yes,Second 1,09/29/2021 19:55:43,09/29/2021 19:55:44,00:00:01.0662530,Second 1 B,30.0%,yes,09/29/2021 19:55:47
9,yes,09/29/2021 19:55:47,00:00:02.0988040,09/29/2021 19:55:49,09/29/2021 19:55:51,00:00:01.8484600,First A,yes,Second 1,09/29/2021 19:55:53,09/29/2021 19:55:54,00:00:01.1339210,Second 1 B,30.0%,no,09/29/2021 19:55:57
10,yes,09/29/2021 19:55:57,00:00:02.2995700,09/29/2021 19:55:59,09/29/2021 19:56:00,00:00:01.0316210,First A,yes,Second 1,09/29/2021 19:56:02,09/29/2021 19:56:03,00:00:01.1663810,Second 1 B,30.0%,no,09/29/2021 19:56:06
11,yes,09/29/2021 19:56:06,00:00:00.8485970,09/29/2021 19:56:07,09/29/2021 19:56:08,00:00:00.9987990,First A,yes,Second 1,09/29/2021 19:56:09,09/29/2021 19:56:10,00:00:01.1290730,Second 1 A,70.0%,no,09/29/2021 19:56:13
12,yes,09/29/2021 19:56:13,00:00:00.5806890,09/29/2021 19:56:14,09/29/2021 19:56:15,00:00:01.0343710,First A,yes,Second 1,09/29/2021 19:56:16,09/29/2021 19:56:18,00:00:01.1490430,Second 1 B,30.0%,no,09/29/2021 19:56:21
13,yes,09/29/2021 19:56:21,00:00:00.9050000,09/29/2021 19:56:22,09/29/2021 19:56:23,00:00:01.0968400,First A,no,Second 2,09/29/2021 19:56:24,09/29/2021 19:56:25,00:00:01.2780380,Second 2 B,30.0%,no,09/29/2021 19:56:28
14,yes,09/29/2021 19:56:28,00:00:01.9026880,09/29/2021 19:56:30,09/29/2021 19:56:32,00:00:01.4955610,First B,yes,Second 2,09/29/2021 19:56:33,09/29/2021 19:56:35,00:00:01.1487340,Second 2 A,30.0%,no,09/29/2021 19:56:38
15,yes,09/29/2021 19:56:38,00:00:01.4668190,09/29/2021 19:56:39,09/29/2021 19:56:40,00:00:01.0989610,First B,yes,Second 2,09/29/2021 19:56:42,09/29/2021 19:56:43,00:00:01.2328840,Second 2 A,30.0%,no,09/29/2021 19:56:46
16,yes,09/29/2021 19:56:46,00:00:00.8164260,09/29/2021 19:56:47,09/29/2021 19:56:48,00:00:01.1641990,First B,yes,Second 2,09/29/2021 19:56:49,09/29/2021 19:56:51,00:00:01.1974270,Second 2 B,30.0%,no,09/29/2021 19:56:54
17,yes,09/29/2021 19:56:54,00:00:03.5500210,09/29/2021 19:56:57,09/29/2021 19:56:58,00:00:01.1628060,First B,yes,Second 2,09/29/2021 19:57:00,09/29/2021 19:57:01,00:00:01.1647810,Second 2 A,30.0%,yes,09/29/2021 19:57:04
18,yes,09/29/2021 19:57:04,00:00:00.2170780,09/29/2021 19:57:04,09/29/2021 19:57:05,00:00:01.1331940,First B,yes,Second 2,09/29/2021 19:57:07,09/29/2021 19:57:08,00:00:01.1147460,Second 2 A,30.0%,no,09/29/2021 19:57:11
19,yes,09/29/2021 19:57:11,00:00:05.1908170,09/29/2021 19:57:16,09/29/2021 19:57:17,00:00:01.2309710,First A,yes,Second 1,09/29/2021 19:57:19,09/29/2021 19:57:20,00:00:01.2485320,Second 1 A,70.0%,no,09/29/2021 19:57:23
20,yes,09/29/2021 19:57:23,00:00:00.7845500,09/29/2021 19:57:24,09/29/2021 19:57:25,00:00:01.0477220,First A,no,Second 2,09/29/2021 19:57:27,09/29/2021 19:57:28,00:00:01.8280160,Second 2 A,30.0%,yes,09/29/2021 19:57:31
21,yes,09/29/2021 19:57:31,00:00:03.1466740,09/29/2021 19:57:35,09/29/2021 19:57:36,00:00:01.0977960,First A,yes,Second 1,09/29/2021 19:57:37,09/29/2021 19:57:38,00:00:01.1493450,Second 1 A,70.0%,no,09/29/2021 19:57:41
22,yes,09/29/2021 19:57:41,00:00:02.4023830,09/29/2021 19:57:44,09/29/2021 19:57:45,00:00:00.9797000,First A,yes,Second 1,09/29/2021 19:57:46,09/29/2021 19:57:47,00:00:01.0331600,Second 1 A,70.0%,yes,09/29/2021 19:57:50
23,yes,09/29/2021 19:57:50,00:00:00.5486330,09/29/2021 19:57:51,09/29/2021 19:57:52,00:00:01.1656520,First A,yes,Second 1,09/29/2021 19:57:54,09/29/2021 19:57:55,00:00:01.1162880,Second 1 B,30.0%,no,09/29/2021 19:57:58
24,yes,09/29/2021 19:57:58,00:00:03.9688910,09/29/2021 19:58:02,09/29/2021 19:58:03,00:00:01.0096990,First A,yes,Second 1,09/29/2021 19:58:04,09/29/2021 19:58:06,00:00:01.2471550,Second 1 B,30.0%,no,09/29/2021 19:58:09
25,yes,09/29/2021 19:58:09,00:00:04.0309710,09/29/2021 19:58:13,09/29/2021 19:58:14,00:00:00.9158930,First A,yes,Second 1,09/29/2021 19:58:15,09/29/2021 19:58:17,00:00:01.6118490,Second 1 A,70.0%,no,09/29/2021 19:58:20
26,yes,09/29/2021 19:58:20,00:00:02.3138060,09/29/2021 19:58:22,09/29/2021 19:58:23,00:00:01.1322630,First A,yes,Second 1,09/29/2021 19:58:25,09/29/2021 19:58:26,00:00:01.1468100,Second 1 A,70.0%,yes,09/29/2021 19:58:29
27,yes,09/29/2021 19:58:29,00:00:00.1147820,09/29/2021 19:58:29,09/29/2021 19:58:30,00:00:01.0845100,First A,yes,Second 1,09/29/2021 19:58:32,09/29/2021 19:58:33,00:00:01.0637620,Second 1 A,70.0%,yes,09/29/2021 19:58:36
28,yes,09/29/2021 19:58:36,00:00:03.6477120,09/29/2021 19:58:39,09/29/2021 19:58:40,00:00:00.8825740,First A,yes,Second 1,09/29/2021 19:58:42,09/29/2021 19:58:43,00:00:01.1018710,Second 1 A,70.0%,yes,09/29/2021 19:58:46
29,yes,09/29/2021 19:58:46,00:00:06.0159840,09/29/2021 19:58:52,09/29/2021 19:58:53,00:00:00.8830350,First A,no,Second 2,09/29/2021 19:58:54,09/29/2021 19:58:56,00:00:01.4799040,Second 2 A,30.0%,yes,09/29/2021 19:58:59
