TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/01/2021 14:03:51,00:00:01.0342670,10/01/2021 14:03:52,10/01/2021 14:03:54,00:00:01.3887010,First A,yes,Second 1,10/01/2021 14:03:55,10/01/2021 14:03:56,00:00:01.2732640,Second 1 B,70.0%,yes,10/01/2021 14:03:59
2,yes,10/01/2021 14:03:59,00:00:01.0119940,10/01/2021 14:04:00,10/01/2021 14:04:02,00:00:01.3377580,First B,yes,Second 2,10/01/2021 14:04:03,10/01/2021 14:04:05,00:00:01.3624970,Second 2 A,30.0%,yes,10/01/2021 14:04:08
3,yes,10/01/2021 14:04:08,00:00:00.3199810,10/01/2021 14:04:08,10/01/2021 14:04:09,00:00:01.1329630,First B,yes,Second 2,10/01/2021 14:04:11,10/01/2021 14:04:12,00:00:01.3481450,Second 2 A,30.0%,yes,10/01/2021 14:04:15
4,yes,10/01/2021 14:04:15,00:00:01.6849710,10/01/2021 14:04:17,10/01/2021 14:04:18,00:00:01.2804020,First A,yes,Second 1,10/01/2021 14:04:20,10/01/2021 14:04:21,00:00:01.2854220,Second 1 B,70.0%,yes,10/01/2021 14:04:24
5,yes,10/01/2021 14:04:24,00:00:02.1647680,10/01/2021 14:04:26,10/01/2021 14:04:27,00:00:01.3341510,First B,no,Second 1,10/01/2021 14:04:29,10/01/2021 14:04:30,00:00:01.3294960,Second 1 B,70.0%,no,10/01/2021 14:04:33
6,yes,10/01/2021 14:04:33,00:00:06.5280420,10/01/2021 14:04:40,10/01/2021 14:04:41,00:00:01.3182850,First A,no,Second 2,10/01/2021 14:04:43,10/01/2021 14:04:44,00:00:01.2476130,Second 2 A,30.0%,no,10/01/2021 14:04:47
7,yes,10/01/2021 14:04:47,00:00:00.5487780,10/01/2021 14:04:47,10/01/2021 14:04:49,00:00:01.4376880,First A,yes,Second 1,10/01/2021 14:04:50,10/01/2021 14:04:52,00:00:01.2539200,Second 1 B,70.0%,yes,10/01/2021 14:04:55
8,yes,10/01/2021 14:04:55,00:00:05.1625190,10/01/2021 14:05:00,10/01/2021 14:05:01,00:00:01.3165260,First A,yes,Second 1,10/01/2021 14:05:03,10/01/2021 14:05:04,00:00:01.1157110,Second 1 B,70.0%,no,10/01/2021 14:05:07
9,yes,10/01/2021 14:05:07,00:00:00.3320540,10/01/2021 14:05:07,10/01/2021 14:05:08,00:00:01.1983820,First A,no,Second 2,10/01/2021 14:05:10,10/01/2021 14:05:11,00:00:01.2824650,Second 2 A,30.0%,no,10/01/2021 14:05:14
10,yes,10/01/2021 14:05:14,00:00:09.2939500,10/01/2021 14:05:23,10/01/2021 14:05:25,00:00:01.1486570,First B,no,Second 1,10/01/2021 14:05:26,10/01/2021 14:05:27,00:00:01.2345410,Second 1 A,30.0%,yes,10/01/2021 14:05:30
11,yes,10/01/2021 14:05:30,00:00:06.1788020,10/01/2021 14:05:37,10/01/2021 14:05:38,00:00:01.2201620,First A,yes,Second 1,10/01/2021 14:05:39,10/01/2021 14:05:41,00:00:01.3827670,Second 1 B,70.0%,yes,10/01/2021 14:05:44
12,yes,10/01/2021 14:05:44,00:00:07.9765870,10/01/2021 14:05:52,10/01/2021 14:05:53,00:00:01.5155130,First B,no,Second 1,10/01/2021 14:05:55,10/01/2021 14:05:56,00:00:01.3679890,Second 1 B,70.0%,yes,10/01/2021 14:05:59
13,yes,10/01/2021 14:05:59,00:00:05.3462850,10/01/2021 14:06:04,10/01/2021 14:06:06,00:00:01.2647190,First B,yes,Second 2,10/01/2021 14:06:07,10/01/2021 14:06:09,00:00:01.3977430,Second 2 A,30.0%,no,10/01/2021 14:06:12
14,yes,10/01/2021 14:06:12,00:00:01.2181450,10/01/2021 14:06:13,10/01/2021 14:06:14,00:00:01.1147040,First B,yes,Second 2,10/01/2021 14:06:16,10/01/2021 14:06:17,00:00:01.2184040,Second 2 B,30.0%,yes,10/01/2021 14:06:20
15,yes,10/01/2021 14:06:20,00:00:02.0823340,10/01/2021 14:06:22,10/01/2021 14:06:23,00:00:01.3984150,First B,no,Second 1,10/01/2021 14:06:25,10/01/2021 14:06:26,00:00:01.5258340,Second 1 B,70.0%,yes,10/01/2021 14:06:29
16,yes,10/01/2021 14:06:29,00:00:01.9658180,10/01/2021 14:06:31,10/01/2021 14:06:33,00:00:01.3197620,First A,no,Second 2,10/01/2021 14:06:34,10/01/2021 14:06:35,00:00:01.2996270,Second 2 A,30.0%,yes,10/01/2021 14:06:38
17,yes,10/01/2021 14:06:38,00:00:00.5841870,10/01/2021 14:06:39,10/01/2021 14:06:40,00:00:01.3974820,First B,yes,Second 2,10/01/2021 14:06:42,10/01/2021 14:06:43,00:00:01.2320910,Second 2 A,30.0%,yes,10/01/2021 14:06:46
