TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/02/2021 20:34:19,00:00:03.8333220,10/02/2021 20:34:22,10/02/2021 20:34:23,00:00:00.9664910,First A,yes,Second 2,10/02/2021 20:34:25,10/02/2021 20:34:26,00:00:01.6010520,Second 2 A,30.0%,no,10/02/2021 20:34:30
2,yes,10/02/2021 20:34:30,00:00:01.7691680,10/02/2021 20:34:31,10/02/2021 20:34:32,00:00:00.8618580,First B,yes,Second 1,10/02/2021 20:34:34,10/02/2021 20:34:35,00:00:00.8854230,Second 1 A,30.0%,no,10/02/2021 20:34:38
3,yes,10/02/2021 20:34:38,00:00:02.4226490,10/02/2021 20:34:40,10/02/2021 20:34:41,00:00:01.1104080,First B,yes,Second 1,10/02/2021 20:34:43,10/02/2021 20:34:44,00:00:00.9476010,Second 1 B,70.0%,yes,10/02/2021 20:34:47
4,yes,10/02/2021 20:34:47,00:00:01.9335040,10/02/2021 20:34:49,10/02/2021 20:34:49,00:00:00.9346680,First B,yes,Second 1,10/02/2021 20:34:51,10/02/2021 20:34:52,00:00:01.0024120,Second 1 B,70.0%,yes,10/02/2021 20:34:55
5,yes,10/02/2021 20:34:55,00:00:00.6994660,10/02/2021 20:34:56,10/02/2021 20:34:57,00:00:01.1149860,First B,yes,Second 1,10/02/2021 20:34:58,10/02/2021 20:34:59,00:00:00.6965100,Second 1 B,70.0%,no,10/02/2021 20:35:02
6,yes,10/02/2021 20:35:02,00:00:01.2479940,10/02/2021 20:35:03,10/02/2021 20:35:05,00:00:01.3632010,First B,yes,Second 1,10/02/2021 20:35:06,10/02/2021 20:35:07,00:00:00.9352790,Second 1 B,70.0%,yes,10/02/2021 20:35:10
7,yes,10/02/2021 20:35:10,00:00:02.9150770,10/02/2021 20:35:13,10/02/2021 20:35:14,00:00:00.7999890,First B,yes,Second 1,10/02/2021 20:35:15,10/02/2021 20:35:16,00:00:00.7151260,Second 1 B,70.0%,yes,10/02/2021 20:35:19
8,yes,10/02/2021 20:35:19,00:00:02.6317530,10/02/2021 20:35:22,10/02/2021 20:35:23,00:00:00.8856280,First B,yes,Second 1,10/02/2021 20:35:24,10/02/2021 20:35:25,00:00:00.8311250,Second 1 B,70.0%,no,10/02/2021 20:35:28
9,yes,10/02/2021 20:35:28,00:00:02.4152830,10/02/2021 20:35:30,10/02/2021 20:35:31,00:00:00.8632520,First A,yes,Second 2,10/02/2021 20:35:33,10/02/2021 20:35:34,00:00:01.1339090,Second 2 A,30.0%,no,10/02/2021 20:35:37
10,yes,10/02/2021 20:35:37,00:00:06.2590500,10/02/2021 20:35:43,10/02/2021 20:35:45,00:00:01.7867770,First B,yes,Second 1,10/02/2021 20:35:47,10/02/2021 20:35:48,00:00:01.3331060,Second 1 A,30.0%,no,10/02/2021 20:35:51
11,yes,10/02/2021 20:35:51,00:00:00.1501070,10/02/2021 20:35:51,10/02/2021 20:35:53,00:00:01.5009840,First A,yes,Second 2,10/02/2021 20:35:54,10/02/2021 20:35:55,00:00:01.2302270,Second 2 A,30.0%,yes,10/02/2021 20:35:58
12,yes,10/02/2021 20:35:58,00:00:01.8829860,10/02/2021 20:36:00,10/02/2021 20:36:01,00:00:00.6515390,First B,yes,Second 1,10/02/2021 20:36:02,10/02/2021 20:36:04,00:00:01.5166680,Second 1 A,30.0%,no,10/02/2021 20:36:07
13,yes,10/02/2021 20:36:07,00:00:05.0243920,10/02/2021 20:36:12,10/02/2021 20:36:13,00:00:01.4327940,First B,no,Second 2,10/02/2021 20:36:15,10/02/2021 20:36:16,00:00:01.1666620,Second 2 B,30.0%,yes,10/02/2021 20:36:19
14,yes,10/02/2021 20:36:19,00:00:01.9851670,10/02/2021 20:36:21,10/02/2021 20:36:22,00:00:00.7642510,First B,yes,Second 1,10/02/2021 20:36:23,10/02/2021 20:36:25,00:00:01.5320290,Second 1 A,30.0%,yes,10/02/2021 20:36:28
