TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,no,10/05/2021 15:25:56,00:00:00.6912100,10/05/2021 15:25:56,,,,,,,,,,,,10/05/2021 15:25:58
2,yes,10/05/2021 15:25:58,00:00:01.2950530,10/05/2021 15:26:00,10/05/2021 15:26:01,00:00:00.9797990,First B,no,Second 2,10/05/2021 15:26:02,10/05/2021 15:26:03,00:00:01.1981080,Second 2 A,70.0%,yes,10/05/2021 15:26:06
3,yes,10/05/2021 15:26:06,00:00:05.7808000,10/05/2021 15:26:12,10/05/2021 15:26:14,00:00:01.2673850,First A,no,Second 1,10/05/2021 15:26:15,10/05/2021 15:26:15,00:00:00.3766510,Second 1 A,30.0%,yes,10/05/2021 15:26:18
4,yes,10/05/2021 15:26:18,00:00:03.4376340,10/05/2021 15:26:22,10/05/2021 15:26:23,00:00:00.9541980,First B,yes,Second 1,10/05/2021 15:26:24,10/05/2021 15:26:26,00:00:01.4985580,Second 1 B,30.0%,yes,10/05/2021 15:26:29
5,yes,10/05/2021 15:26:29,00:00:00.7141730,10/05/2021 15:26:30,10/05/2021 15:26:31,00:00:01.0011100,First B,yes,Second 1,10/05/2021 15:26:32,10/05/2021 15:26:33,00:00:01.3549980,Second 1 A,30.0%,yes,10/05/2021 15:26:36
6,yes,10/05/2021 15:26:36,00:00:03.9543060,10/05/2021 15:26:40,10/05/2021 15:26:41,00:00:00.9143370,First A,yes,Second 2,10/05/2021 15:26:43,10/05/2021 15:26:44,00:00:01.1174040,Second 2 A,70.0%,yes,10/05/2021 15:26:47
7,yes,10/05/2021 15:26:47,00:00:00.4797320,10/05/2021 15:26:47,10/05/2021 15:26:49,00:00:01.2650430,First A,yes,Second 2,10/05/2021 15:26:50,10/05/2021 15:26:51,00:00:00.9715970,Second 2 B,30.0%,yes,10/05/2021 15:26:54
8,yes,10/05/2021 15:26:54,00:00:00.7612230,10/05/2021 15:26:55,10/05/2021 15:26:56,00:00:01.0517020,First A,yes,Second 2,10/05/2021 15:26:57,10/05/2021 15:26:59,00:00:01.2173580,Second 2 A,70.0%,yes,10/05/2021 15:27:02
9,yes,10/05/2021 15:27:02,00:00:00.2375810,10/05/2021 15:27:02,10/05/2021 15:27:03,00:00:01.1311700,First B,yes,Second 1,10/05/2021 15:27:04,10/05/2021 15:27:06,00:00:01.3995630,Second 1 B,30.0%,no,10/05/2021 15:27:09
10,yes,10/05/2021 15:27:09,00:00:00.9559110,10/05/2021 15:27:10,10/05/2021 15:27:11,00:00:01.5164200,First B,no,Second 2,10/05/2021 15:27:13,10/05/2021 15:27:14,00:00:01.2337910,Second 2 B,30.0%,yes,10/05/2021 15:27:17
11,yes,10/05/2021 15:27:17,00:00:00.4675390,10/05/2021 15:27:18,10/05/2021 15:27:19,00:00:01.0004360,First B,yes,Second 1,10/05/2021 15:27:20,10/05/2021 15:27:22,00:00:01.4587170,Second 1 B,30.0%,no,10/05/2021 15:27:25
12,yes,10/05/2021 15:27:25,00:00:05.7241440,10/05/2021 15:27:30,10/05/2021 15:27:32,00:00:01.3669550,First B,no,Second 2,10/05/2021 15:27:33,10/05/2021 15:27:35,00:00:01.5687850,Second 2 A,70.0%,no,10/05/2021 15:27:38
13,yes,10/05/2021 15:27:38,00:00:00.4513210,10/05/2021 15:27:38,10/05/2021 15:27:39,00:00:00.8153070,First A,no,Second 1,10/05/2021 15:27:40,10/05/2021 15:27:41,00:00:01.0311770,Second 1 A,30.0%,yes,10/05/2021 15:27:44
14,yes,10/05/2021 15:27:44,00:00:01.1805290,10/05/2021 15:27:46,10/05/2021 15:27:46,00:00:00.8475480,First A,yes,Second 2,10/05/2021 15:27:48,10/05/2021 15:27:49,00:00:01.2331020,Second 2 A,70.0%,no,10/05/2021 15:27:52
15,yes,10/05/2021 15:27:52,00:00:01.5990910,10/05/2021 15:27:54,10/05/2021 15:27:55,00:00:00.7827170,First A,no,Second 1,10/05/2021 15:27:56,10/05/2021 15:27:57,00:00:00.9224800,Second 1 B,30.0%,yes,10/05/2021 15:28:00
16,yes,10/05/2021 15:28:00,00:00:00.5320700,10/05/2021 15:28:01,10/05/2021 15:28:01,00:00:00.9047950,First A,yes,Second 2,10/05/2021 15:28:03,10/05/2021 15:28:04,00:00:01.2312530,Second 2 B,30.0%,no,10/05/2021 15:28:07
17,yes,10/05/2021 15:28:07,00:00:00.5651330,10/05/2021 15:28:08,10/05/2021 15:28:09,00:00:01.2010890,First A,no,Second 1,10/05/2021 15:28:10,10/05/2021 15:28:11,00:00:00.8484350,Second 1 B,30.0%,no,10/05/2021 15:28:14
18,yes,10/05/2021 15:28:14,00:00:01.2296680,10/05/2021 15:28:16,10/05/2021 15:28:17,00:00:01.2370860,First A,yes,Second 2,10/05/2021 15:28:18,10/05/2021 15:28:20,00:00:01.8793650,Second 2 A,70.0%,no,10/05/2021 15:28:23
19,yes,10/05/2021 15:28:23,00:00:01.8833600,10/05/2021 15:28:25,10/05/2021 15:28:26,00:00:01.0836740,First A,yes,Second 2,10/05/2021 15:28:28,10/05/2021 15:28:29,00:00:01.3293950,Second 2 B,30.0%,no,10/05/2021 15:28:32
20,no,10/05/2021 15:28:32,00:00:00.9005090,10/05/2021 15:28:33,,,,,,,,,,,,10/05/2021 15:28:35
21,no,10/05/2021 15:28:35,00:00:00.7048090,10/05/2021 15:28:36,,,,,,,,,,,,10/05/2021 15:28:38
22,yes,10/05/2021 15:28:38,00:00:02.5498600,10/05/2021 15:28:40,10/05/2021 15:28:41,00:00:01.2159000,First A,yes,Second 2,10/05/2021 15:28:43,10/05/2021 15:28:44,00:00:00.9893800,Second 2 B,30.0%,no,10/05/2021 15:28:47
23,no,10/05/2021 15:28:47,00:00:02.0532060,10/05/2021 15:28:49,,,,,,,,,,,,10/05/2021 15:28:51
24,no,10/05/2021 15:28:51,00:00:01.0398030,10/05/2021 15:28:52,,,,,,,,,,,,10/05/2021 15:28:54
25,no,10/05/2021 15:28:54,,,,,,,,,,,,,,01/01/0001 00:00:00
26,yes,10/05/2021 15:29:08,00:00:02.1453430,10/05/2021 15:29:11,10/05/2021 15:29:12,00:00:01.0985540,First B,no,Second 2,10/05/2021 15:29:13,10/05/2021 15:29:14,00:00:01.1815000,Second 2 A,70.0%,yes,10/05/2021 15:29:17
27,yes,10/05/2021 15:29:17,00:00:04.6525670,10/05/2021 15:29:22,10/05/2021 15:29:23,00:00:01.0217140,First B,no,Second 2,10/05/2021 15:29:25,10/05/2021 15:29:26,00:00:01.1459350,Second 2 B,30.0%,yes,10/05/2021 15:29:29
28,yes,10/05/2021 15:29:29,00:00:01.7844540,10/05/2021 15:29:30,10/05/2021 15:29:32,00:00:01.3155130,First B,yes,Second 1,10/05/2021 15:29:33,10/05/2021 15:29:34,00:00:00.9957200,Second 1 A,30.0%,no,10/05/2021 15:29:37
29,yes,10/05/2021 15:29:37,00:00:00.8492840,10/05/2021 15:29:38,10/05/2021 15:29:39,00:00:01.2368020,First B,no,Second 2,10/05/2021 15:29:41,10/05/2021 15:29:42,00:00:01.0985900,Second 2 B,30.0%,no,10/05/2021 15:29:45
30,yes,10/05/2021 15:29:45,00:00:01.4572470,10/05/2021 15:29:46,10/05/2021 15:29:47,00:00:00.9107600,First A,no,Second 1,10/05/2021 15:29:49,10/05/2021 15:29:50,00:00:00.9170050,Second 1 B,30.0%,no,10/05/2021 15:29:53
31,yes,10/05/2021 15:29:53,00:00:06.5018810,10/05/2021 15:29:59,10/05/2021 15:30:00,00:00:01.0349880,First A,no,Second 1,10/05/2021 15:30:02,10/05/2021 15:30:03,00:00:00.9324540,Second 1 A,30.0%,no,10/05/2021 15:30:06
32,yes,10/05/2021 15:30:06,00:00:02.6696850,10/05/2021 15:30:08,10/05/2021 15:30:10,00:00:01.1479010,First A,yes,Second 2,10/05/2021 15:30:11,10/05/2021 15:30:12,00:00:00.9348230,Second 2 A,70.0%,yes,10/05/2021 15:30:15
33,yes,10/05/2021 15:30:15,00:00:00.2492600,10/05/2021 15:30:15,10/05/2021 15:30:16,00:00:00.8008670,First A,no,Second 1,10/05/2021 15:30:18,10/05/2021 15:30:19,00:00:01.3837280,Second 1 A,30.0%,yes,10/05/2021 15:30:22
34,yes,10/05/2021 15:30:22,00:00:01.7488500,10/05/2021 15:30:24,10/05/2021 15:30:25,00:00:01.0067030,First B,yes,Second 1,10/05/2021 15:30:26,10/05/2021 15:30:27,00:00:01.0166930,Second 1 A,30.0%,yes,10/05/2021 15:30:30
35,yes,10/05/2021 15:30:30,00:00:02.2486400,10/05/2021 15:30:32,10/05/2021 15:30:33,00:00:01.0243320,First B,yes,Second 1,10/05/2021 15:30:35,10/05/2021 15:30:36,00:00:00.8474300,Second 1 B,30.0%,no,10/05/2021 15:30:39
36,yes,10/05/2021 15:30:39,00:00:01.3033050,10/05/2021 15:30:40,10/05/2021 15:30:41,00:00:01.3499560,First B,yes,Second 1,10/05/2021 15:30:43,10/05/2021 15:30:44,00:00:01.0984350,Second 1 A,30.0%,no,10/05/2021 15:30:47
37,yes,10/05/2021 15:30:47,00:00:00.7024780,10/05/2021 15:30:48,10/05/2021 15:30:49,00:00:00.9374540,First B,yes,Second 1,10/05/2021 15:30:50,10/05/2021 15:30:52,00:00:01.3697470,Second 1 B,30.0%,no,10/05/2021 15:30:55
38,yes,10/05/2021 15:30:55,00:00:01.1665900,10/05/2021 15:30:56,10/05/2021 15:30:57,00:00:00.8173190,First A,no,Second 1,10/05/2021 15:30:58,10/05/2021 15:30:59,00:00:01.1397970,Second 1 A,30.0%,no,10/05/2021 15:31:02
39,yes,10/05/2021 15:31:02,00:00:01.5850230,10/05/2021 15:31:04,10/05/2021 15:31:05,00:00:01.0309110,First A,yes,Second 2,10/05/2021 15:31:06,10/05/2021 15:31:07,00:00:00.8145560,Second 2 B,30.0%,no,10/05/2021 15:31:10
40,yes,10/05/2021 15:31:10,00:00:05.5188430,10/05/2021 15:31:16,10/05/2021 15:31:17,00:00:01.1345090,First A,no,Second 1,10/05/2021 15:31:18,10/05/2021 15:31:20,00:00:01.6642680,Second 1 B,30.0%,yes,10/05/2021 15:31:23
41,yes,10/05/2021 15:31:23,00:00:01.1599970,10/05/2021 15:31:24,10/05/2021 15:31:26,00:00:01.5044850,First A,no,Second 1,10/05/2021 15:31:27,10/05/2021 15:31:29,00:00:01.4528830,Second 1 B,30.0%,yes,10/05/2021 15:31:32
42,no,10/05/2021 15:31:32,,,,,,,,,,,,,,01/01/0001 00:00:00
43,no,10/05/2021 15:31:34,00:00:03.1671810,10/05/2021 15:31:37,10/05/2021 15:31:38,00:00:01.7005360,First A,no,Second 1,10/05/2021 15:31:40,10/05/2021 15:31:41,00:00:01.1643540,Second 1 B,30.0%,no,10/05/2021 15:31:44
