TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/05/2021 15:33:35,00:00:00.4047570,10/05/2021 15:33:35,10/05/2021 15:33:36,00:00:01.5306070,First B,yes,Second 1,10/05/2021 15:33:38,10/05/2021 15:33:39,00:00:01.4821090,Second 1 B,30.0%,no,10/05/2021 15:33:42
2,no,10/05/2021 15:33:42,00:00:03.6028220,10/05/2021 15:33:46,10/05/2021 15:33:47,00:00:01.2582050,First B,yes,Second 1,10/05/2021 15:33:49,10/05/2021 15:33:50,00:00:01.2934150,Second 1 A,30.0%,yes,10/05/2021 15:33:52
3,no,10/05/2021 15:33:52,,,,,,,,,,,,,,01/01/0001 00:00:00
4,yes,10/05/2021 15:34:02,00:00:01.5542810,10/05/2021 15:34:04,10/05/2021 15:34:05,00:00:01.3799930,First A,yes,Second 2,10/05/2021 15:34:06,10/05/2021 15:34:08,00:00:01.1344400,Second 2 A,70.0%,yes,10/05/2021 15:34:11
5,yes,10/05/2021 15:34:11,00:00:01.8827540,10/05/2021 15:34:12,10/05/2021 15:34:14,00:00:01.2157270,First A,yes,Second 2,10/05/2021 15:34:15,10/05/2021 15:34:17,00:00:01.4156460,Second 2 A,70.0%,yes,10/05/2021 15:34:20
6,yes,10/05/2021 15:34:20,00:00:02.3992930,10/05/2021 15:34:22,10/05/2021 15:34:23,00:00:01.2619800,First A,yes,Second 2,10/05/2021 15:34:25,10/05/2021 15:34:26,00:00:01.1783580,Second 2 A,70.0%,yes,10/05/2021 15:34:29
7,yes,10/05/2021 15:34:29,00:00:08.7744190,10/05/2021 15:34:38,10/05/2021 15:34:39,00:00:01.4527070,First A,yes,Second 2,10/05/2021 15:34:41,10/05/2021 15:34:42,00:00:01.4027810,Second 2 A,70.0%,yes,10/05/2021 15:34:45
8,yes,10/05/2021 15:34:45,00:00:00.8679000,10/05/2021 15:34:46,10/05/2021 15:34:47,00:00:01.3503700,First A,yes,Second 2,10/05/2021 15:34:49,10/05/2021 15:34:50,00:00:01.4314460,Second 2 A,70.0%,no,10/05/2021 15:34:53
9,yes,10/05/2021 15:34:53,00:00:01.5508800,10/05/2021 15:34:55,10/05/2021 15:34:56,00:00:01.3831390,First A,yes,Second 2,10/05/2021 15:34:58,10/05/2021 15:34:59,00:00:01.5144500,Second 2 B,30.0%,no,10/05/2021 15:35:02
10,yes,10/05/2021 15:35:02,00:00:03.2700770,10/05/2021 15:35:05,10/05/2021 15:35:07,00:00:01.4323010,First B,yes,Second 1,10/05/2021 15:35:08,10/05/2021 15:35:10,00:00:01.4874260,Second 1 B,30.0%,yes,10/05/2021 15:35:13
11,no,10/05/2021 15:35:13,00:00:00.0409000,10/05/2021 15:35:13,10/05/2021 15:35:14,00:00:01.4493020,First B,no,Second 2,10/05/2021 15:35:16,,,,,,10/05/2021 15:35:18
12,yes,10/05/2021 15:35:18,00:00:01.5008860,10/05/2021 15:35:19,10/05/2021 15:35:21,00:00:01.4522780,First B,yes,Second 1,10/05/2021 15:35:22,10/05/2021 15:35:24,00:00:01.3343010,Second 1 B,30.0%,no,10/05/2021 15:35:27
13,yes,10/05/2021 15:35:27,00:00:00.7497950,10/05/2021 15:35:27,10/05/2021 15:35:29,00:00:01.4657600,First B,yes,Second 1,10/05/2021 15:35:30,10/05/2021 15:35:32,00:00:01.3173180,Second 1 A,30.0%,yes,10/05/2021 15:35:35
14,yes,10/05/2021 15:35:35,00:00:01.5330350,10/05/2021 15:35:36,10/05/2021 15:35:38,00:00:01.3507840,First B,no,Second 2,10/05/2021 15:35:39,10/05/2021 15:35:41,00:00:01.5322850,Second 2 B,30.0%,no,10/05/2021 15:35:44
15,yes,10/05/2021 15:35:44,00:00:03.9343050,10/05/2021 15:35:48,10/05/2021 15:35:49,00:00:01.3829530,First A,no,Second 1,10/05/2021 15:35:50,10/05/2021 15:35:52,00:00:01.4008290,Second 1 A,30.0%,no,10/05/2021 15:35:55
16,yes,10/05/2021 15:35:55,00:00:03.3555980,10/05/2021 15:35:58,10/05/2021 15:36:00,00:00:01.3967700,First A,no,Second 1,10/05/2021 15:36:01,10/05/2021 15:36:02,00:00:01.2999360,Second 1 B,30.0%,no,10/05/2021 15:36:05
17,yes,10/05/2021 15:36:05,00:00:00.2634810,10/05/2021 15:36:06,10/05/2021 15:36:07,00:00:01.3520130,First B,yes,Second 1,10/05/2021 15:36:09,10/05/2021 15:36:10,00:00:01.4009100,Second 1 A,30.0%,no,10/05/2021 15:36:13
18,yes,10/05/2021 15:36:13,00:00:00.1818590,10/05/2021 15:36:13,10/05/2021 15:36:15,00:00:01.3888660,First B,yes,Second 1,10/05/2021 15:36:16,10/05/2021 15:36:17,00:00:01.2001700,Second 1 B,30.0%,yes,10/05/2021 15:36:20
