TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/05/2021 15:40:01,00:00:00.2862410,10/05/2021 15:40:01,10/05/2021 15:40:02,00:00:01.3475540,First A,yes,Second 1,10/05/2021 15:40:04,10/05/2021 15:40:05,00:00:01.4410790,Second 1 A,30.0%,no,10/05/2021 15:40:08
2,yes,10/05/2021 15:40:08,00:00:02.0327590,10/05/2021 15:40:10,10/05/2021 15:40:12,00:00:01.3183110,First A,no,Second 2,10/05/2021 15:40:13,10/05/2021 15:40:15,00:00:01.6143720,Second 2 A,30.0%,no,10/05/2021 15:40:18
3,yes,10/05/2021 15:40:18,00:00:00.2992630,10/05/2021 15:40:18,10/05/2021 15:40:19,00:00:01.2314300,First A,yes,Second 1,10/05/2021 15:40:21,10/05/2021 15:40:22,00:00:01.5658060,Second 1 B,70.0%,yes,10/05/2021 15:40:25
4,yes,10/05/2021 15:40:25,00:00:02.3408280,10/05/2021 15:40:28,10/05/2021 15:40:29,00:00:01.2678860,First A,yes,Second 1,10/05/2021 15:40:30,10/05/2021 15:40:32,00:00:01.5527480,Second 1 B,70.0%,yes,10/05/2021 15:40:35
5,yes,10/05/2021 15:40:35,00:00:00.1858950,10/05/2021 15:40:35,10/05/2021 15:40:36,00:00:01.2986880,First A,yes,Second 1,10/05/2021 15:40:38,10/05/2021 15:40:40,00:00:01.5682630,Second 1 B,70.0%,no,10/05/2021 15:40:43
6,yes,10/05/2021 15:40:43,00:00:00.6018610,10/05/2021 15:40:43,10/05/2021 15:40:44,00:00:01.3169490,First B,yes,Second 2,10/05/2021 15:40:46,10/05/2021 15:40:47,00:00:01.4987670,Second 2 B,30.0%,no,10/05/2021 15:40:50
7,yes,10/05/2021 15:40:50,00:00:03.8740000,10/05/2021 15:40:54,10/05/2021 15:40:56,00:00:01.3798760,First B,yes,Second 2,10/05/2021 15:40:57,10/05/2021 15:40:59,00:00:01.5524960,Second 2 A,30.0%,no,10/05/2021 15:41:02
8,yes,10/05/2021 15:41:02,00:00:02.3694010,10/05/2021 15:41:04,10/05/2021 15:41:05,00:00:01.2511610,First B,yes,Second 2,10/05/2021 15:41:07,10/05/2021 15:41:08,00:00:01.5316780,Second 2 B,30.0%,no,10/05/2021 15:41:11
9,yes,10/05/2021 15:41:11,00:00:02.0231470,10/05/2021 15:41:13,10/05/2021 15:41:15,00:00:01.2942500,First A,yes,Second 1,10/05/2021 15:41:16,10/05/2021 15:41:18,00:00:01.6108960,Second 1 B,70.0%,no,10/05/2021 15:41:21
10,yes,10/05/2021 15:41:21,00:00:01.3973730,10/05/2021 15:41:22,10/05/2021 15:41:24,00:00:01.3338480,First A,yes,Second 1,10/05/2021 15:41:25,10/05/2021 15:41:27,00:00:01.5104830,Second 1 A,30.0%,yes,10/05/2021 15:41:30
11,yes,10/05/2021 15:41:30,00:00:00.4567040,10/05/2021 15:41:30,10/05/2021 15:41:32,00:00:01.5283040,First A,yes,Second 1,10/05/2021 15:41:33,10/05/2021 15:41:35,00:00:01.4869110,Second 1 A,30.0%,no,10/05/2021 15:41:38
12,yes,10/05/2021 15:41:38,00:00:01.8391740,10/05/2021 15:41:39,10/05/2021 15:41:41,00:00:01.4124190,First A,no,Second 2,10/05/2021 15:41:42,10/05/2021 15:41:44,00:00:01.4579140,Second 2 B,30.0%,no,10/05/2021 15:41:47
13,yes,10/05/2021 15:41:47,00:00:01.2176330,10/05/2021 15:41:48,10/05/2021 15:41:49,00:00:01.3817190,First A,no,Second 2,10/05/2021 15:41:51,10/05/2021 15:41:52,00:00:01.5939920,Second 2 A,30.0%,no,10/05/2021 15:41:55
14,yes,10/05/2021 15:41:55,00:00:04.0514690,10/05/2021 15:42:00,10/05/2021 15:42:01,00:00:01.3660970,First B,yes,Second 2,10/05/2021 15:42:02,10/05/2021 15:42:04,00:00:01.4488490,Second 2 B,30.0%,no,10/05/2021 15:42:07
15,yes,10/05/2021 15:42:07,00:00:00.2657570,10/05/2021 15:42:07,10/05/2021 15:42:08,00:00:01.3345410,First A,no,Second 2,10/05/2021 15:42:10,10/05/2021 15:42:11,00:00:01.5351370,Second 2 A,30.0%,no,10/05/2021 15:42:14
16,yes,10/05/2021 15:42:14,00:00:01.9690590,10/05/2021 15:42:16,10/05/2021 15:42:18,00:00:01.3453560,First A,yes,Second 1,10/05/2021 15:42:19,10/05/2021 15:42:21,00:00:01.4797030,Second 1 A,30.0%,yes,10/05/2021 15:42:24
17,yes,10/05/2021 15:42:24,00:00:01.6368880,10/05/2021 15:42:25,10/05/2021 15:42:27,00:00:01.2636850,First A,yes,Second 1,10/05/2021 15:42:28,10/05/2021 15:42:30,00:00:01.4783960,Second 1 A,30.0%,no,10/05/2021 15:42:33
18,yes,10/05/2021 15:42:33,00:00:04.1327170,10/05/2021 15:42:37,10/05/2021 15:42:38,00:00:01.2808990,First B,yes,Second 2,10/05/2021 15:42:40,10/05/2021 15:42:41,00:00:01.5978130,Second 2 A,30.0%,yes,10/05/2021 15:42:44
19,yes,10/05/2021 15:42:44,00:00:00.2687760,10/05/2021 15:42:44,10/05/2021 15:42:46,00:00:01.2320180,First B,no,Second 1,10/05/2021 15:42:47,10/05/2021 15:42:49,00:00:01.5650990,Second 1 A,30.0%,yes,10/05/2021 15:42:52
20,yes,10/05/2021 15:42:52,00:00:00.6841690,10/05/2021 15:42:52,10/05/2021 15:42:54,00:00:01.4165110,First B,yes,Second 2,10/05/2021 15:42:55,10/05/2021 15:42:57,00:00:01.5998630,Second 2 A,30.0%,yes,10/05/2021 15:43:00
21,yes,10/05/2021 15:43:00,00:00:00.1004030,10/05/2021 15:43:00,10/05/2021 15:43:02,00:00:01.4661210,First B,yes,Second 2,10/05/2021 15:43:03,10/05/2021 15:43:05,00:00:01.4806980,Second 2 A,30.0%,no,10/05/2021 15:43:08
22,yes,10/05/2021 15:43:08,00:00:01.3879410,10/05/2021 15:43:09,10/05/2021 15:43:10,00:00:01.2822130,First A,no,Second 2,10/05/2021 15:43:12,10/05/2021 15:43:13,00:00:01.4868600,Second 2 B,30.0%,no,10/05/2021 15:43:16
23,no,10/05/2021 15:43:16,00:00:02.3695270,10/05/2021 15:43:19,,,,,,,,,,,,10/05/2021 15:43:19
24,no,10/05/2021 15:43:19,,,,,,,,,,,,,,01/01/0001 00:00:00
