TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/05/2021 23:58:31,00:00:01.1613720,10/05/2021 23:58:32,10/05/2021 23:58:34,00:00:01.7226490,First A,yes,Second 2,10/05/2021 23:58:35,10/05/2021 23:58:37,00:00:01.4077930,Second 2 B,30.0%,yes,10/05/2021 23:58:40
2,yes,10/05/2021 23:58:40,00:00:00.1332980,10/05/2021 23:58:40,10/05/2021 23:58:41,00:00:01.2477070,First B,yes,Second 1,10/05/2021 23:58:42,10/05/2021 23:58:44,00:00:01.2820920,Second 1 A,30.0%,no,10/05/2021 23:58:47
3,no,10/05/2021 23:58:47,00:00:00.9853880,10/05/2021 23:58:48,,,,,,,,,,,,10/05/2021 23:58:50
4,no,10/05/2021 23:58:50,00:00:02.1267530,10/05/2021 23:58:52,,,,,,,,,,,,10/05/2021 23:58:54
5,yes,10/05/2021 23:58:54,00:00:00.1838720,10/05/2021 23:58:54,10/05/2021 23:58:55,00:00:01.2320050,First B,yes,Second 1,10/05/2021 23:58:57,10/05/2021 23:58:58,00:00:00.8484590,Second 1 A,30.0%,yes,10/05/2021 23:59:01
6,yes,10/05/2021 23:59:01,00:00:03.3160360,10/05/2021 23:59:04,10/05/2021 23:59:05,00:00:01.4654880,First A,yes,Second 2,10/05/2021 23:59:07,10/05/2021 23:59:08,00:00:01.1812500,Second 2 B,30.0%,no,10/05/2021 23:59:11
7,no,10/05/2021 23:59:11,00:00:03.1320910,10/05/2021 23:59:14,,,,,,,,,,,,10/05/2021 23:59:16
8,no,10/05/2021 23:59:16,00:00:01.8681080,10/05/2021 23:59:18,,,,,,,,,,,,10/05/2021 23:59:20
9,no,10/05/2021 23:59:20,00:00:00.0189370,10/05/2021 23:59:20,,,,,,,,,,,,10/05/2021 23:59:22
10,no,10/05/2021 23:59:22,00:00:01.2499070,10/05/2021 23:59:24,,,,,,,,,,,,10/05/2021 23:59:26
11,no,10/05/2021 23:59:26,00:00:01.4676900,10/05/2021 23:59:27,10/05/2021 23:59:28,00:00:01.3138500,First A,yes,Second 2,10/05/2021 23:59:30,,,,,,10/05/2021 23:59:32
12,yes,10/05/2021 23:59:32,00:00:03.2647880,10/05/2021 23:59:35,10/05/2021 23:59:37,00:00:01.8174920,First A,yes,Second 2,10/05/2021 23:59:38,10/05/2021 23:59:40,00:00:01.2977820,Second 2 B,30.0%,yes,10/05/2021 23:59:43
13,yes,10/05/2021 23:59:43,00:00:01.3687130,10/05/2021 23:59:44,10/05/2021 23:59:46,00:00:01.3643870,First B,yes,Second 1,10/05/2021 23:59:47,10/05/2021 23:59:48,00:00:01.2836220,Second 1 B,30.0%,yes,10/05/2021 23:59:51
14,yes,10/05/2021 23:59:51,00:00:00.6341420,10/05/2021 23:59:52,10/05/2021 23:59:53,00:00:01.3814510,First B,yes,Second 1,10/05/2021 23:59:55,10/05/2021 23:59:56,00:00:01.2657790,Second 1 B,30.0%,no,10/05/2021 23:59:59
