TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/06/2021 17:07:22,00:00:03.4580150,10/06/2021 17:07:25,10/06/2021 17:07:27,00:00:01.2305850,First B,no,Second 2,10/06/2021 17:07:28,10/06/2021 17:07:29,00:00:01.0897870,Second 2 B,30.0%,no,10/06/2021 17:07:32
2,yes,10/06/2021 17:07:32,00:00:00.8485060,10/06/2021 17:07:33,10/06/2021 17:07:35,00:00:01.5820130,First B,yes,Second 1,10/06/2021 17:07:36,10/06/2021 17:07:38,00:00:01.3993030,Second 1 A,70.0%,yes,10/06/2021 17:07:41
3,yes,10/06/2021 17:07:41,00:00:05.5630140,10/06/2021 17:07:46,10/06/2021 17:07:47,00:00:01.1324260,First B,yes,Second 1,10/06/2021 17:07:49,10/06/2021 17:07:50,00:00:01.1158110,Second 1 A,70.0%,yes,10/06/2021 17:07:53
4,yes,10/06/2021 17:07:53,00:00:02.3149570,10/06/2021 17:07:55,10/06/2021 17:07:56,00:00:00.8493270,First B,yes,Second 1,10/06/2021 17:07:58,10/06/2021 17:07:58,00:00:00.7822870,Second 1 A,70.0%,no,10/06/2021 17:08:02
5,yes,10/06/2021 17:08:02,00:00:03.2311720,10/06/2021 17:08:05,10/06/2021 17:08:06,00:00:01.6645630,First B,yes,Second 1,10/06/2021 17:08:08,10/06/2021 17:08:09,00:00:00.6821920,Second 1 A,70.0%,no,10/06/2021 17:08:12
6,yes,10/06/2021 17:08:12,00:00:01.6491740,10/06/2021 17:08:13,10/06/2021 17:08:14,00:00:01.0824390,First A,yes,Second 2,10/06/2021 17:08:16,10/06/2021 17:08:17,00:00:01.5319810,Second 2 A,30.0%,no,10/06/2021 17:08:20
7,yes,10/06/2021 17:08:20,00:00:01.4666630,10/06/2021 17:08:22,10/06/2021 17:08:23,00:00:00.8822240,First A,no,Second 1,10/06/2021 17:08:24,10/06/2021 17:08:26,00:00:01.2824140,Second 1 A,70.0%,no,10/06/2021 17:08:29
8,yes,10/06/2021 17:08:29,00:00:01.4996360,10/06/2021 17:08:30,10/06/2021 17:08:31,00:00:00.8655170,First B,no,Second 2,10/06/2021 17:08:33,10/06/2021 17:08:34,00:00:00.9996870,Second 2 B,30.0%,no,10/06/2021 17:08:37
9,yes,10/06/2021 17:08:37,00:00:00.6501600,10/06/2021 17:08:37,10/06/2021 17:08:39,00:00:01.3486560,First A,no,Second 1,10/06/2021 17:08:40,10/06/2021 17:08:41,00:00:01.0663530,Second 1 B,30.0%,yes,10/06/2021 17:08:44
10,yes,10/06/2021 17:08:44,00:00:02.9477420,10/06/2021 17:08:47,10/06/2021 17:08:48,00:00:01.1829360,First B,no,Second 2,10/06/2021 17:08:50,10/06/2021 17:08:51,00:00:01.5660830,Second 2 B,30.0%,no,10/06/2021 17:08:54
11,yes,10/06/2021 17:08:54,00:00:01.1323330,10/06/2021 17:08:56,10/06/2021 17:08:56,00:00:00.6829880,First B,yes,Second 1,10/06/2021 17:08:58,10/06/2021 17:08:59,00:00:00.9323490,Second 1 B,30.0%,no,10/06/2021 17:09:02
12,yes,10/06/2021 17:09:02,00:00:01.2492640,10/06/2021 17:09:03,10/06/2021 17:09:04,00:00:00.9993610,First B,yes,Second 1,10/06/2021 17:09:05,10/06/2021 17:09:06,00:00:00.6661350,Second 1 B,30.0%,no,10/06/2021 17:09:09
13,yes,10/06/2021 17:09:09,00:00:06.4459880,10/06/2021 17:09:16,10/06/2021 17:09:16,00:00:00.8162890,First A,yes,Second 2,10/06/2021 17:09:18,10/06/2021 17:09:19,00:00:01.0984790,Second 2 A,30.0%,no,10/06/2021 17:09:22
14,yes,10/06/2021 17:09:22,00:00:00.1664600,10/06/2021 17:09:22,10/06/2021 17:09:23,00:00:00.9157210,First B,no,Second 2,10/06/2021 17:09:25,10/06/2021 17:09:25,00:00:00.6328020,Second 2 A,30.0%,yes,10/06/2021 17:09:28
15,yes,10/06/2021 17:09:28,00:00:00.5665690,10/06/2021 17:09:29,10/06/2021 17:09:30,00:00:00.8162080,First A,yes,Second 2,10/06/2021 17:09:31,10/06/2021 17:09:32,00:00:00.8823090,Second 2 A,30.0%,yes,10/06/2021 17:09:35
16,yes,10/06/2021 17:09:35,00:00:05.6459630,10/06/2021 17:09:41,10/06/2021 17:09:42,00:00:01.0658070,First A,no,Second 1,10/06/2021 17:09:43,10/06/2021 17:09:45,00:00:01.9157250,Second 1 A,70.0%,yes,10/06/2021 17:09:48
