TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/06/2021 17:17:21,00:00:01.7024100,10/06/2021 17:17:23,10/06/2021 17:17:25,00:00:01.3823480,First B,no,Second 2,10/06/2021 17:17:26,10/06/2021 17:17:27,00:00:01.2532380,Second 2 B,30.0%,no,10/06/2021 17:17:30
2,yes,10/06/2021 17:17:30,00:00:02.3652430,10/06/2021 17:17:33,10/06/2021 17:17:34,00:00:01.1322090,First B,yes,Second 1,10/06/2021 17:17:35,10/06/2021 17:17:36,00:00:01.0822760,Second 1 B,70.0%,yes,10/06/2021 17:17:39
3,yes,10/06/2021 17:17:39,00:00:01.9826040,10/06/2021 17:17:41,10/06/2021 17:17:43,00:00:01.0659340,First B,yes,Second 1,10/06/2021 17:17:44,10/06/2021 17:17:45,00:00:01.0157210,Second 1 B,70.0%,yes,10/06/2021 17:17:48
4,yes,10/06/2021 17:17:48,00:00:01.4488160,10/06/2021 17:17:50,10/06/2021 17:17:51,00:00:01.1151160,First B,yes,Second 1,10/06/2021 17:17:52,10/06/2021 17:17:53,00:00:00.9822650,Second 1 B,70.0%,no,10/06/2021 17:17:56
5,yes,10/06/2021 17:17:56,00:00:01.0999000,10/06/2021 17:17:57,10/06/2021 17:17:58,00:00:01.0316420,First B,no,Second 2,10/06/2021 17:18:00,10/06/2021 17:18:01,00:00:01.3481460,Second 2 B,30.0%,no,10/06/2021 17:18:04
6,yes,10/06/2021 17:18:04,00:00:01.5988250,10/06/2021 17:18:06,10/06/2021 17:18:07,00:00:00.9659600,First B,yes,Second 1,10/06/2021 17:18:08,10/06/2021 17:18:09,00:00:00.9647360,Second 1 B,70.0%,yes,10/06/2021 17:18:12
7,yes,10/06/2021 17:18:12,00:00:01.1161370,10/06/2021 17:18:13,10/06/2021 17:18:14,00:00:01.0320390,First B,no,Second 2,10/06/2021 17:18:16,10/06/2021 17:18:17,00:00:01.1324550,Second 2 A,30.0%,no,10/06/2021 17:18:20
8,yes,10/06/2021 17:18:20,00:00:00.5172210,10/06/2021 17:18:21,10/06/2021 17:18:22,00:00:01.0820340,First B,yes,Second 1,10/06/2021 17:18:23,10/06/2021 17:18:24,00:00:00.9986240,Second 1 B,70.0%,yes,10/06/2021 17:18:27
9,yes,10/06/2021 17:18:27,00:00:01.6156270,10/06/2021 17:18:29,10/06/2021 17:18:30,00:00:01.0317240,First B,no,Second 2,10/06/2021 17:18:31,10/06/2021 17:18:33,00:00:01.2324940,Second 2 A,30.0%,yes,10/06/2021 17:18:36
10,yes,10/06/2021 17:18:36,00:00:06.8960260,10/06/2021 17:18:43,10/06/2021 17:18:44,00:00:01.0148140,First B,yes,Second 1,10/06/2021 17:18:45,10/06/2021 17:18:46,00:00:00.9991550,Second 1 B,70.0%,yes,10/06/2021 17:18:49
11,yes,10/06/2021 17:18:49,00:00:00.2661240,10/06/2021 17:18:49,10/06/2021 17:18:50,00:00:01.0159040,First B,yes,Second 1,10/06/2021 17:18:52,10/06/2021 17:18:53,00:00:00.9150670,Second 1 B,70.0%,yes,10/06/2021 17:18:56
12,yes,10/06/2021 17:18:56,00:00:00.0831900,10/06/2021 17:18:56,10/06/2021 17:18:57,00:00:01.0818320,First B,yes,Second 1,10/06/2021 17:18:59,10/06/2021 17:18:59,00:00:00.9147970,Second 1 B,70.0%,no,10/06/2021 17:19:03
13,yes,10/06/2021 17:19:03,00:00:00.4003820,10/06/2021 17:19:03,10/06/2021 17:19:04,00:00:01.0984150,First B,yes,Second 1,10/06/2021 17:19:06,10/06/2021 17:19:07,00:00:01.0470720,Second 1 B,70.0%,yes,10/06/2021 17:19:10
