TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/06/2021 17:24:11,00:00:03.3577940,10/06/2021 17:24:14,10/06/2021 17:24:15,00:00:01.0674670,First B,yes,Second 2,10/06/2021 17:24:17,10/06/2021 17:24:18,00:00:01.3207870,Second 2 B,30.0%,no,10/06/2021 17:24:21
2,yes,10/06/2021 17:24:21,00:00:00.1838520,10/06/2021 17:24:21,10/06/2021 17:24:22,00:00:01.1650640,First B,yes,Second 2,10/06/2021 17:24:24,10/06/2021 17:24:25,00:00:01.1981590,Second 2 A,30.0%,yes,10/06/2021 17:24:28
3,yes,10/06/2021 17:24:28,00:00:00.1639120,10/06/2021 17:24:28,10/06/2021 17:24:30,00:00:01.2494690,First B,no,Second 1,10/06/2021 17:24:31,10/06/2021 17:24:32,00:00:01.3318430,Second 1 A,30.0%,yes,10/06/2021 17:24:35
4,yes,10/06/2021 17:24:35,00:00:00.2839510,10/06/2021 17:24:36,10/06/2021 17:24:37,00:00:01.3148780,First B,no,Second 1,10/06/2021 17:24:39,10/06/2021 17:24:40,00:00:01.4321700,Second 1 A,30.0%,no,10/06/2021 17:24:43
5,yes,10/06/2021 17:24:43,00:00:00.6167060,10/06/2021 17:24:44,10/06/2021 17:24:45,00:00:01.1313520,First B,yes,Second 2,10/06/2021 17:24:46,10/06/2021 17:24:48,00:00:01.4319240,Second 2 B,30.0%,no,10/06/2021 17:24:51
6,yes,10/06/2021 17:24:51,00:00:00.3162040,10/06/2021 17:24:51,10/06/2021 17:24:52,00:00:01.0826670,First B,yes,Second 2,10/06/2021 17:24:54,10/06/2021 17:24:55,00:00:01.2653230,Second 2 B,30.0%,yes,10/06/2021 17:24:58
7,yes,10/06/2021 17:24:58,00:00:00.7151720,10/06/2021 17:24:59,10/06/2021 17:25:00,00:00:01.1316950,First B,no,Second 1,10/06/2021 17:25:01,10/06/2021 17:25:03,00:00:01.4484060,Second 1 A,30.0%,no,10/06/2021 17:25:06
8,yes,10/06/2021 17:25:06,00:00:00.5176790,10/06/2021 17:25:06,10/06/2021 17:25:08,00:00:01.3147260,First B,yes,Second 2,10/06/2021 17:25:09,10/06/2021 17:25:10,00:00:01.3644470,Second 2 B,30.0%,no,10/06/2021 17:25:14
9,yes,10/06/2021 17:25:14,00:00:01.0329290,10/06/2021 17:25:15,10/06/2021 17:25:16,00:00:01.0660860,First B,yes,Second 2,10/06/2021 17:25:17,10/06/2021 17:25:19,00:00:01.4639620,Second 2 A,30.0%,no,10/06/2021 17:25:22
10,yes,10/06/2021 17:25:22,00:00:01.1322570,10/06/2021 17:25:23,10/06/2021 17:25:24,00:00:01.2323730,First A,no,Second 2,10/06/2021 17:25:26,10/06/2021 17:25:27,00:00:01.4805100,Second 2 A,30.0%,no,10/06/2021 17:25:30
11,yes,10/06/2021 17:25:30,00:00:00.5662490,10/06/2021 17:25:31,10/06/2021 17:25:32,00:00:01.0993690,First A,yes,Second 1,10/06/2021 17:25:33,10/06/2021 17:25:34,00:00:01.1964070,Second 1 B,70.0%,yes,10/06/2021 17:25:37
12,yes,10/06/2021 17:25:37,00:00:02.5156130,10/06/2021 17:25:40,10/06/2021 17:25:41,00:00:01.2656870,First A,yes,Second 1,10/06/2021 17:25:43,10/06/2021 17:25:44,00:00:01.2493660,Second 1 B,70.0%,yes,10/06/2021 17:25:47
13,yes,10/06/2021 17:25:47,00:00:01.6487210,10/06/2021 17:25:49,10/06/2021 17:25:50,00:00:01.2657130,First A,no,Second 2,10/06/2021 17:25:51,10/06/2021 17:25:53,00:00:01.4161870,Second 2 A,30.0%,no,10/06/2021 17:25:56
14,yes,10/06/2021 17:25:56,00:00:00.4842920,10/06/2021 17:25:56,10/06/2021 17:25:57,00:00:00.9817050,First A,yes,Second 1,10/06/2021 17:25:59,10/06/2021 17:26:00,00:00:01.2313050,Second 1 B,70.0%,no,10/06/2021 17:26:03
15,yes,10/06/2021 17:26:03,00:00:02.3979650,10/06/2021 17:26:06,10/06/2021 17:26:07,00:00:01.0663980,First A,yes,Second 1,10/06/2021 17:26:08,10/06/2021 17:26:09,00:00:01.2488820,Second 1 B,70.0%,yes,10/06/2021 17:26:12
16,yes,10/06/2021 17:26:12,00:00:00.4167790,10/06/2021 17:26:13,10/06/2021 17:26:14,00:00:01.0660960,First A,yes,Second 1,10/06/2021 17:26:15,10/06/2021 17:26:16,00:00:01.0820900,Second 1 B,70.0%,no,10/06/2021 17:26:20
17,yes,10/06/2021 17:26:20,00:00:03.4481370,10/06/2021 17:26:23,10/06/2021 17:26:24,00:00:01.2153520,First A,yes,Second 1,10/06/2021 17:26:26,10/06/2021 17:26:27,00:00:01.2152000,Second 1 B,70.0%,yes,10/06/2021 17:26:30
18,yes,10/06/2021 17:26:30,00:00:00.4666290,10/06/2021 17:26:30,10/06/2021 17:26:32,00:00:01.1823590,First A,no,Second 2,10/06/2021 17:26:33,10/06/2021 17:26:34,00:00:01.3989970,Second 2 A,30.0%,no,10/06/2021 17:26:38
19,yes,10/06/2021 17:26:38,00:00:04.0808460,10/06/2021 17:26:42,10/06/2021 17:26:43,00:00:01.0658660,First A,no,Second 2,10/06/2021 17:26:44,10/06/2021 17:26:46,00:00:01.3316290,Second 2 B,30.0%,no,10/06/2021 17:26:49
20,yes,10/06/2021 17:26:49,00:00:01.3994080,10/06/2021 17:26:50,10/06/2021 17:26:51,00:00:01.2991630,First A,no,Second 2,10/06/2021 17:26:53,10/06/2021 17:26:54,00:00:01.4494460,Second 2 A,30.0%,no,10/06/2021 17:26:57
21,yes,10/06/2021 17:26:57,00:00:01.4995890,10/06/2021 17:26:59,10/06/2021 17:27:00,00:00:01.2804590,First A,yes,Second 1,10/06/2021 17:27:02,10/06/2021 17:27:03,00:00:01.1486850,Second 1 B,70.0%,yes,10/06/2021 17:27:06
22,yes,10/06/2021 17:27:06,00:00:02.8653010,10/06/2021 17:27:09,10/06/2021 17:27:10,00:00:01.1826440,First A,no,Second 2,10/06/2021 17:27:11,10/06/2021 17:27:13,00:00:01.2655030,Second 2 B,30.0%,no,10/06/2021 17:27:16
23,yes,10/06/2021 17:27:16,00:00:05.5302240,10/06/2021 17:27:21,10/06/2021 17:27:22,00:00:01.1486060,First A,yes,Second 1,10/06/2021 17:27:24,10/06/2021 17:27:25,00:00:01.2149840,Second 1 B,70.0%,yes,10/06/2021 17:27:28
24,yes,10/06/2021 17:27:28,00:00:00.3997030,10/06/2021 17:27:28,10/06/2021 17:27:30,00:00:01.1989540,First A,yes,Second 1,10/06/2021 17:27:31,10/06/2021 17:27:32,00:00:01.2154120,Second 1 B,70.0%,yes,10/06/2021 17:27:35
25,yes,10/06/2021 17:27:35,00:00:00.0167040,10/06/2021 17:27:35,10/06/2021 17:27:37,00:00:01.2165870,First A,yes,Second 1,10/06/2021 17:27:38,10/06/2021 17:27:39,00:00:01.2315140,Second 1 B,70.0%,yes,10/06/2021 17:27:42
26,yes,10/06/2021 17:27:42,00:00:06.0130350,10/06/2021 17:27:48,10/06/2021 17:27:50,00:00:01.1147590,First A,yes,Second 1,10/06/2021 17:27:51,10/06/2021 17:27:52,00:00:01.1486570,Second 1 B,70.0%,yes,10/06/2021 17:27:55
