TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/30/2021 11:41:12,00:00:03.9122880,09/30/2021 11:41:16,09/30/2021 11:41:17,00:00:00.7707150,First B,no,Second 2,09/30/2021 11:41:19,09/30/2021 11:41:20,00:00:00.9256380,Second 2 A,70.0%,no,09/30/2021 11:41:23
2,yes,09/30/2021 11:41:23,00:00:01.4125260,09/30/2021 11:41:24,09/30/2021 11:41:25,00:00:01.0339450,First B,no,Second 2,09/30/2021 11:41:26,09/30/2021 11:41:28,00:00:01.1972420,Second 2 B,30.0%,no,09/30/2021 11:41:31
3,yes,09/30/2021 11:41:31,00:00:01.3710000,09/30/2021 11:41:32,09/30/2021 11:41:33,00:00:01.0485430,First A,yes,Second 2,09/30/2021 11:41:35,09/30/2021 11:41:36,00:00:01.1338680,Second 2 A,70.0%,no,09/30/2021 11:41:39
4,yes,09/30/2021 11:41:39,00:00:02.2866060,09/30/2021 11:41:41,09/30/2021 11:41:42,00:00:00.5819720,First A,yes,Second 2,09/30/2021 11:41:43,09/30/2021 11:41:44,00:00:00.7156290,Second 2 B,30.0%,no,09/30/2021 11:41:47
5,yes,09/30/2021 11:41:47,00:00:02.7069830,09/30/2021 11:41:50,09/30/2021 11:41:50,00:00:00.7941710,First A,yes,Second 2,09/30/2021 11:41:52,09/30/2021 11:41:53,00:00:00.7377560,Second 2 B,30.0%,no,09/30/2021 11:41:56
6,yes,09/30/2021 11:41:56,00:00:00.2298970,09/30/2021 11:41:56,09/30/2021 11:41:57,00:00:01.1854490,First B,yes,Second 1,09/30/2021 11:41:59,09/30/2021 11:42:00,00:00:01.1637320,Second 1 B,30.0%,no,09/30/2021 11:42:03
7,yes,09/30/2021 11:42:03,00:00:00.1814260,09/30/2021 11:42:03,09/30/2021 11:42:04,00:00:00.7524020,First B,yes,Second 1,09/30/2021 11:42:05,09/30/2021 11:42:06,00:00:00.9274700,Second 1 A,30.0%,yes,09/30/2021 11:42:09
8,yes,09/30/2021 11:42:09,00:00:02.8729090,09/30/2021 11:42:12,09/30/2021 11:42:13,00:00:01.0835290,First B,yes,Second 1,09/30/2021 11:42:15,09/30/2021 11:42:15,00:00:00.6320750,Second 1 A,30.0%,no,09/30/2021 11:42:18
9,yes,09/30/2021 11:42:18,00:00:03.2581650,09/30/2021 11:42:21,09/30/2021 11:42:22,00:00:00.7486290,First B,yes,Second 1,09/30/2021 11:42:24,09/30/2021 11:42:24,00:00:00.5152180,Second 1 A,30.0%,no,09/30/2021 11:42:27
10,yes,09/30/2021 11:42:27,00:00:00.9411650,09/30/2021 11:42:28,09/30/2021 11:42:29,00:00:00.9132840,First B,yes,Second 1,09/30/2021 11:42:31,09/30/2021 11:42:31,00:00:00.4830650,Second 1 B,30.0%,no,09/30/2021 11:42:34
