TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/30/2021 12:12:08,00:00:00.5895940,09/30/2021 12:12:09,09/30/2021 12:12:11,00:00:01.8014050,First A,yes,Second 2,09/30/2021 12:12:12,09/30/2021 12:12:14,00:00:01.5902580,Second 2 B,30.0%,yes,09/30/2021 12:12:17
2,yes,09/30/2021 12:12:17,00:00:01.5554750,09/30/2021 12:12:18,09/30/2021 12:12:19,00:00:01.0352490,First A,yes,Second 2,09/30/2021 12:12:21,09/30/2021 12:12:22,00:00:01.1979470,Second 2 B,30.0%,no,09/30/2021 12:12:25
3,yes,09/30/2021 12:12:25,00:00:02.1222670,09/30/2021 12:12:27,09/30/2021 12:12:28,00:00:01.3018600,First A,yes,Second 2,09/30/2021 12:12:30,09/30/2021 12:12:31,00:00:01.2277510,Second 2 B,30.0%,no,09/30/2021 12:12:34
4,yes,09/30/2021 12:12:34,00:00:00.2001480,09/30/2021 12:12:34,09/30/2021 12:12:36,00:00:01.3152580,First A,no,Second 1,09/30/2021 12:12:37,09/30/2021 12:12:39,00:00:01.7343270,Second 1 A,30.0%,yes,09/30/2021 12:12:42
5,yes,09/30/2021 12:12:42,00:00:04.4459040,09/30/2021 12:12:46,09/30/2021 12:12:48,00:00:01.2666310,First B,yes,Second 1,09/30/2021 12:12:49,09/30/2021 12:12:50,00:00:01.1666000,Second 1 A,30.0%,yes,09/30/2021 12:12:53
6,yes,09/30/2021 12:12:53,00:00:02.5420260,09/30/2021 12:12:56,09/30/2021 12:12:57,00:00:00.9996500,First B,yes,Second 1,09/30/2021 12:12:58,09/30/2021 12:12:59,00:00:01.1161860,Second 1 A,30.0%,no,09/30/2021 12:13:02
7,yes,09/30/2021 12:13:02,00:00:02.5755600,09/30/2021 12:13:05,09/30/2021 12:13:06,00:00:01.1000620,First B,yes,Second 1,09/30/2021 12:13:08,09/30/2021 12:13:09,00:00:01.1308710,Second 1 A,30.0%,no,09/30/2021 12:13:12
8,yes,09/30/2021 12:13:12,00:00:02.0244750,09/30/2021 12:13:14,09/30/2021 12:13:15,00:00:01.3142720,First B,no,Second 2,09/30/2021 12:13:17,09/30/2021 12:13:18,00:00:01.4342890,Second 2 B,30.0%,no,09/30/2021 12:13:21
9,yes,09/30/2021 12:13:21,00:00:00.3862270,09/30/2021 12:13:21,09/30/2021 12:13:23,00:00:01.0623810,First B,yes,Second 1,09/30/2021 12:13:24,09/30/2021 12:13:25,00:00:00.9363900,Second 1 A,30.0%,no,09/30/2021 12:13:28
10,yes,09/30/2021 12:13:28,00:00:01.4857290,09/30/2021 12:13:29,09/30/2021 12:13:30,00:00:00.9329220,First A,yes,Second 2,09/30/2021 12:13:32,09/30/2021 12:13:33,00:00:01.2855050,Second 2 B,30.0%,yes,09/30/2021 12:13:36
11,yes,09/30/2021 12:13:36,00:00:01.2209780,09/30/2021 12:13:37,09/30/2021 12:13:39,00:00:01.3169750,First A,yes,Second 2,09/30/2021 12:13:40,09/30/2021 12:13:41,00:00:01.0812360,Second 2 B,30.0%,yes,09/30/2021 12:13:44
12,yes,09/30/2021 12:13:44,00:00:00.0869990,09/30/2021 12:13:44,09/30/2021 12:13:45,00:00:01.0304040,First A,no,Second 1,09/30/2021 12:13:47,09/30/2021 12:13:48,00:00:01.1176030,Second 1 A,30.0%,no,09/30/2021 12:13:51
13,yes,09/30/2021 12:13:51,00:00:01.0368260,09/30/2021 12:13:52,09/30/2021 12:13:53,00:00:00.9650120,First A,yes,Second 2,09/30/2021 12:13:55,09/30/2021 12:13:56,00:00:01.0628040,Second 2 B,30.0%,no,09/30/2021 12:13:59
14,yes,09/30/2021 12:13:59,00:00:01.6704820,09/30/2021 12:14:00,09/30/2021 12:14:01,00:00:00.9663830,First A,no,Second 1,09/30/2021 12:14:03,09/30/2021 12:14:04,00:00:00.9602010,Second 1 A,30.0%,no,09/30/2021 12:14:07
15,yes,09/30/2021 12:14:07,00:00:08.1695850,09/30/2021 12:14:15,09/30/2021 12:14:16,00:00:00.9819310,First A,no,Second 1,09/30/2021 12:14:17,09/30/2021 12:14:19,00:00:01.3823050,Second 1 A,30.0%,no,09/30/2021 12:14:22
16,yes,09/30/2021 12:14:22,00:00:00.7355660,09/30/2021 12:14:23,09/30/2021 12:14:24,00:00:00.9667290,First A,yes,Second 2,09/30/2021 12:14:25,09/30/2021 12:14:26,00:00:01.0632770,Second 2 B,30.0%,yes,09/30/2021 12:14:29
17,yes,09/30/2021 12:14:29,00:00:00.9185070,09/30/2021 12:14:30,09/30/2021 12:14:31,00:00:01.0523720,First A,yes,Second 2,09/30/2021 12:14:33,09/30/2021 12:14:34,00:00:00.9680360,Second 2 B,30.0%,no,09/30/2021 12:14:37
18,yes,09/30/2021 12:14:37,00:00:01.5580380,09/30/2021 12:14:38,09/30/2021 12:14:39,00:00:01.0501500,First A,no,Second 1,09/30/2021 12:14:41,09/30/2021 12:14:42,00:00:01.0294790,Second 1 A,30.0%,no,09/30/2021 12:14:45
19,yes,09/30/2021 12:14:45,00:00:00.6842960,09/30/2021 12:14:45,09/30/2021 12:14:46,00:00:01.0660850,First A,yes,Second 2,09/30/2021 12:14:48,09/30/2021 12:14:49,00:00:00.9845030,Second 2 B,30.0%,no,09/30/2021 12:14:52
20,yes,09/30/2021 12:14:52,00:00:00.1389720,09/30/2021 12:14:52,09/30/2021 12:14:53,00:00:01.1632480,First B,yes,Second 1,09/30/2021 12:14:55,09/30/2021 12:14:56,00:00:01.0151380,Second 1 A,30.0%,yes,09/30/2021 12:14:59
21,yes,09/30/2021 12:14:59,00:00:10.0080680,09/30/2021 12:15:09,09/30/2021 12:15:10,00:00:00.9982010,First B,yes,Second 1,09/30/2021 12:15:11,09/30/2021 12:15:13,00:00:01.4959820,Second 1 A,30.0%,no,09/30/2021 12:15:16
22,yes,09/30/2021 12:15:16,00:00:00.1382950,09/30/2021 12:15:16,09/30/2021 12:15:17,00:00:01.0794090,First B,yes,Second 1,09/30/2021 12:15:19,09/30/2021 12:15:20,00:00:01.0506040,Second 1 A,30.0%,yes,09/30/2021 12:15:23
23,yes,09/30/2021 12:15:23,00:00:00.2325050,09/30/2021 12:15:23,09/30/2021 12:15:24,00:00:01.1149750,First B,yes,Second 1,09/30/2021 12:15:25,09/30/2021 12:15:27,00:00:01.0147550,Second 1 A,30.0%,no,09/30/2021 12:15:30
24,yes,09/30/2021 12:15:30,00:00:01.2532080,09/30/2021 12:15:31,09/30/2021 12:15:32,00:00:01.0971630,First B,yes,Second 1,09/30/2021 12:15:33,09/30/2021 12:15:34,00:00:01.0146910,Second 1 A,30.0%,no,09/30/2021 12:15:37
25,yes,09/30/2021 12:15:37,00:00:02.0071470,09/30/2021 12:15:39,09/30/2021 12:15:40,00:00:01.0344910,First B,no,Second 2,09/30/2021 12:15:42,09/30/2021 12:15:43,00:00:01.3680990,Second 2 B,30.0%,no,09/30/2021 12:15:46
