TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,no,09/30/2021 19:25:01,00:00:01.3750670,09/30/2021 19:25:02,,,,,,,,,,,,09/30/2021 19:25:04
2,no,09/30/2021 19:25:04,00:00:00.2953890,09/30/2021 19:25:05,,,,,,,,,,,,09/30/2021 19:25:07
3,yes,09/30/2021 19:25:07,00:00:02.6393700,09/30/2021 19:25:09,09/30/2021 19:25:11,00:00:01.3232790,First B,yes,Second 2,09/30/2021 19:25:12,09/30/2021 19:25:13,00:00:00.9722490,Second 2 A,30.0%,yes,09/30/2021 19:25:16
4,yes,09/30/2021 19:25:16,00:00:00.8662140,09/30/2021 19:25:17,09/30/2021 19:25:18,00:00:01.0542700,First B,yes,Second 2,09/30/2021 19:25:20,09/30/2021 19:25:21,00:00:00.8989150,Second 2 A,30.0%,no,09/30/2021 19:25:24
5,yes,09/30/2021 19:25:24,00:00:02.2060870,09/30/2021 19:25:26,09/30/2021 19:25:27,00:00:00.8338650,First B,yes,Second 2,09/30/2021 19:25:28,09/30/2021 19:25:29,00:00:00.8669950,Second 2 A,30.0%,yes,09/30/2021 19:25:32
6,yes,09/30/2021 19:25:32,00:00:00.1665610,09/30/2021 19:25:32,09/30/2021 19:25:33,00:00:00.7499750,First B,yes,Second 2,09/30/2021 19:25:34,09/30/2021 19:25:35,00:00:00.5676400,Second 2 A,30.0%,no,09/30/2021 19:25:38
7,yes,09/30/2021 19:25:38,00:00:00.4861980,09/30/2021 19:25:38,09/30/2021 19:25:39,00:00:00.7185340,First B,yes,Second 2,09/30/2021 19:25:41,09/30/2021 19:25:41,00:00:00.7659900,Second 2 A,30.0%,no,09/30/2021 19:25:44
8,no,09/30/2021 19:25:44,00:00:02.7420680,09/30/2021 19:25:47,09/30/2021 19:25:48,00:00:00.8467050,First B,no,Second 1,09/30/2021 19:25:50,,,,,,09/30/2021 19:25:52
9,yes,09/30/2021 19:25:52,00:00:02.6421440,09/30/2021 19:25:54,09/30/2021 19:25:55,00:00:00.8847650,First B,no,Second 1,09/30/2021 19:25:57,09/30/2021 19:25:57,00:00:00.7532140,Second 1 A,70.0%,yes,09/30/2021 19:26:00
10,yes,09/30/2021 19:26:00,00:00:07.8378780,09/30/2021 19:26:08,09/30/2021 19:26:10,00:00:01.6032400,First B,yes,Second 2,09/30/2021 19:26:11,09/30/2021 19:26:12,00:00:00.8189290,Second 2 B,30.0%,no,09/30/2021 19:26:15
11,yes,09/30/2021 19:26:15,00:00:00.8529250,09/30/2021 19:26:16,09/30/2021 19:26:17,00:00:00.9353330,First B,no,Second 1,09/30/2021 19:26:18,09/30/2021 19:26:19,00:00:00.8664090,Second 1 A,70.0%,yes,09/30/2021 19:26:22
