TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/30/2021 19:29:43,00:00:03.1468720,09/30/2021 19:29:46,09/30/2021 19:29:47,00:00:01.3551050,First B,yes,Second 1,09/30/2021 19:29:49,09/30/2021 19:29:50,00:00:01.3590350,Second 1 A,30.0%,no,09/30/2021 19:29:53
2,yes,09/30/2021 19:29:53,00:00:01.8053860,09/30/2021 19:29:55,09/30/2021 19:29:56,00:00:01.1030250,First A,yes,Second 2,09/30/2021 19:29:58,09/30/2021 19:29:59,00:00:01.0509420,Second 2 A,30.0%,yes,09/30/2021 19:30:02
3,yes,09/30/2021 19:30:02,00:00:03.8243210,09/30/2021 19:30:06,09/30/2021 19:30:07,00:00:01.1173640,First A,yes,Second 2,09/30/2021 19:30:08,09/30/2021 19:30:10,00:00:01.3799330,Second 2 A,30.0%,yes,09/30/2021 19:30:13
4,yes,09/30/2021 19:30:13,00:00:01.0031350,09/30/2021 19:30:14,09/30/2021 19:30:15,00:00:01.1347150,First A,no,Second 1,09/30/2021 19:30:16,09/30/2021 19:30:18,00:00:01.2186910,Second 1 A,30.0%,no,09/30/2021 19:30:21
5,yes,09/30/2021 19:30:21,00:00:00.9656640,09/30/2021 19:30:21,09/30/2021 19:30:23,00:00:01.2358220,First B,no,Second 2,09/30/2021 19:30:24,09/30/2021 19:30:25,00:00:01.2335700,Second 2 A,30.0%,no,09/30/2021 19:30:28
6,yes,09/30/2021 19:30:28,00:00:00.9501810,09/30/2021 19:30:29,09/30/2021 19:30:31,00:00:01.3371620,First B,no,Second 2,09/30/2021 19:30:32,09/30/2021 19:30:33,00:00:01.0024260,Second 2 A,30.0%,yes,09/30/2021 19:30:36
7,no,09/30/2021 19:30:36,00:00:02.4233740,09/30/2021 19:30:39,09/30/2021 19:30:40,00:00:01.6206360,First A,,,,,,,,,09/30/2021 19:30:40
8,no,09/30/2021 19:30:40,,,,,,,,,,,,,,01/01/0001 00:00:00
9,yes,09/30/2021 19:30:58,00:00:01.8907990,09/30/2021 19:31:00,09/30/2021 19:31:01,00:00:01.2833140,First A,yes,Second 2,09/30/2021 19:31:03,09/30/2021 19:31:04,00:00:01.2705710,Second 2 A,30.0%,no,09/30/2021 19:31:07
10,yes,09/30/2021 19:31:07,00:00:01.0214130,09/30/2021 19:31:08,09/30/2021 19:31:09,00:00:01.1813870,First A,yes,Second 2,09/30/2021 19:31:11,09/30/2021 19:31:12,00:00:01.0853370,Second 2 B,30.0%,no,09/30/2021 19:31:15
11,yes,09/30/2021 19:31:15,00:00:04.2619170,09/30/2021 19:31:19,09/30/2021 19:31:20,00:00:01.3018000,First A,yes,Second 2,09/30/2021 19:31:22,09/30/2021 19:31:23,00:00:01.2214190,Second 2 A,30.0%,no,09/30/2021 19:31:26
