TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,no,09/30/2021 19:30:43,00:00:09.3406570,09/30/2021 19:30:52,,,,,,,,,,,,09/30/2021 19:30:52
2,no,09/30/2021 19:30:52,,,,,,,,,,,,,,01/01/0001 00:00:00
3,yes,09/30/2021 19:30:53,00:00:00.1443640,09/30/2021 19:30:54,09/30/2021 19:30:55,00:00:01.4465920,First A,no,Second 2,09/30/2021 19:30:56,09/30/2021 19:30:58,00:00:01.6143250,Second 2 B,70.0%,yes,09/30/2021 19:31:01
4,yes,09/30/2021 19:31:01,00:00:04.7666680,09/30/2021 19:31:06,09/30/2021 19:31:07,00:00:00.8858740,First A,yes,Second 1,09/30/2021 19:31:08,09/30/2021 19:31:10,00:00:01.5361860,Second 1 B,30.0%,no,09/30/2021 19:31:13
5,yes,09/30/2021 19:31:13,00:00:00.0340120,09/30/2021 19:31:13,09/30/2021 19:31:14,00:00:01.2452290,First A,yes,Second 1,09/30/2021 19:31:16,09/30/2021 19:31:16,00:00:00.9310130,Second 1 A,30.0%,no,09/30/2021 19:31:19
6,yes,09/30/2021 19:31:19,00:00:00.6725540,09/30/2021 19:31:20,09/30/2021 19:31:21,00:00:01.2220470,First B,no,Second 1,09/30/2021 19:31:23,09/30/2021 19:31:24,00:00:00.8300190,Second 1 B,30.0%,no,09/30/2021 19:31:27
7,yes,09/30/2021 19:31:27,00:00:03.2185390,09/30/2021 19:31:30,09/30/2021 19:31:31,00:00:00.9753440,First A,no,Second 2,09/30/2021 19:31:32,09/30/2021 19:31:33,00:00:00.5938620,Second 2 A,30.0%,no,09/30/2021 19:31:36
8,yes,09/30/2021 19:31:36,00:00:01.8300210,09/30/2021 19:31:38,09/30/2021 19:31:39,00:00:00.8267270,First A,yes,Second 1,09/30/2021 19:31:40,09/30/2021 19:31:41,00:00:00.9744670,Second 1 A,30.0%,yes,09/30/2021 19:31:44
9,yes,09/30/2021 19:31:44,00:00:01.4129780,09/30/2021 19:31:46,09/30/2021 19:31:47,00:00:01.0992070,First A,yes,Second 1,09/30/2021 19:31:48,09/30/2021 19:31:50,00:00:01.3455650,Second 1 A,30.0%,no,09/30/2021 19:31:53
10,yes,09/30/2021 19:31:53,00:00:00.3377140,09/30/2021 19:31:53,09/30/2021 19:31:54,00:00:00.9638260,First A,no,Second 2,09/30/2021 19:31:55,09/30/2021 19:31:57,00:00:01.6705010,Second 2 B,70.0%,yes,09/30/2021 19:32:00
11,yes,09/30/2021 19:32:00,00:00:02.9834230,09/30/2021 19:32:03,09/30/2021 19:32:04,00:00:01.2116810,First A,yes,Second 1,09/30/2021 19:32:06,09/30/2021 19:32:06,00:00:00.7742010,Second 1 A,30.0%,no,09/30/2021 19:32:09
12,yes,09/30/2021 19:32:09,00:00:00.3148320,09/30/2021 19:32:10,09/30/2021 19:32:11,00:00:00.8511400,First A,yes,Second 1,09/30/2021 19:32:12,09/30/2021 19:32:13,00:00:01.0098340,Second 1 B,30.0%,no,09/30/2021 19:32:16
13,yes,09/30/2021 19:32:16,00:00:00.1232870,09/30/2021 19:32:16,09/30/2021 19:32:17,00:00:00.7289880,First A,yes,Second 1,09/30/2021 19:32:19,09/30/2021 19:32:20,00:00:01.0095900,Second 1 A,30.0%,yes,09/30/2021 19:32:23
14,yes,09/30/2021 19:32:23,00:00:03.1971100,09/30/2021 19:32:26,09/30/2021 19:32:27,00:00:01.0540780,First A,yes,Second 1,09/30/2021 19:32:28,09/30/2021 19:32:29,00:00:00.8401490,Second 1 A,30.0%,yes,09/30/2021 19:32:32
15,yes,09/30/2021 19:32:32,00:00:01.4035200,09/30/2021 19:32:34,09/30/2021 19:32:35,00:00:01.2221680,First A,no,Second 2,09/30/2021 19:32:36,09/30/2021 19:32:37,00:00:00.6732060,Second 2 B,70.0%,yes,09/30/2021 19:32:40
16,yes,09/30/2021 19:32:40,00:00:05.1707990,09/30/2021 19:32:45,09/30/2021 19:32:46,00:00:00.8975010,First A,yes,Second 1,09/30/2021 19:32:48,09/30/2021 19:32:48,00:00:00.8517740,Second 1 A,30.0%,yes,09/30/2021 19:32:51
17,yes,09/30/2021 19:32:51,00:00:00.3257570,09/30/2021 19:32:52,09/30/2021 19:32:53,00:00:01.4919000,First A,yes,Second 1,09/30/2021 19:32:55,09/30/2021 19:32:56,00:00:01.0542400,Second 1 A,30.0%,no,09/30/2021 19:32:59
18,yes,09/30/2021 19:32:59,00:00:00.0339390,09/30/2021 19:32:59,09/30/2021 19:33:00,00:00:00.9190940,First A,no,Second 2,09/30/2021 19:33:01,09/30/2021 19:33:02,00:00:00.7402280,Second 2 B,70.0%,yes,09/30/2021 19:33:05
19,yes,09/30/2021 19:33:05,00:00:05.1045720,09/30/2021 19:33:10,09/30/2021 19:33:11,00:00:01.0655530,First A,yes,Second 1,09/30/2021 19:33:13,09/30/2021 19:33:14,00:00:00.9083490,Second 1 A,30.0%,yes,09/30/2021 19:33:17
20,yes,09/30/2021 19:33:17,00:00:00.2250910,09/30/2021 19:33:17,09/30/2021 19:33:18,00:00:00.9187130,First A,no,Second 2,09/30/2021 19:33:19,09/30/2021 19:33:20,00:00:00.9201150,Second 2 B,70.0%,yes,09/30/2021 19:33:23
21,yes,09/30/2021 19:33:23,00:00:00.6853150,09/30/2021 19:33:24,09/30/2021 19:33:25,00:00:00.8738420,First A,yes,Second 1,09/30/2021 19:33:26,09/30/2021 19:33:27,00:00:00.9970890,Second 1 A,30.0%,yes,09/30/2021 19:33:30
22,yes,09/30/2021 19:33:30,00:00:03.5338020,09/30/2021 19:33:34,09/30/2021 19:33:35,00:00:00.7852940,First A,no,Second 2,09/30/2021 19:33:36,09/30/2021 19:33:37,00:00:00.7057390,Second 2 B,70.0%,yes,09/30/2021 19:33:40
