TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,09/30/2021 19:44:36,00:00:01.0967340,09/30/2021 19:44:37,09/30/2021 19:44:38,00:00:01.4027570,First A,no,Second 2,09/30/2021 19:44:40,09/30/2021 19:44:41,00:00:01.1362670,Second 2 A,30.0%,no,09/30/2021 19:44:44
2,yes,09/30/2021 19:44:44,00:00:00.5379300,09/30/2021 19:44:44,09/30/2021 19:44:46,00:00:01.1839470,First A,yes,Second 1,09/30/2021 19:44:47,09/30/2021 19:44:48,00:00:01.0537800,Second 1 B,30.0%,no,09/30/2021 19:44:51
3,yes,09/30/2021 19:44:51,00:00:01.3383910,09/30/2021 19:44:52,09/30/2021 19:44:54,00:00:01.1684490,First A,yes,Second 1,09/30/2021 19:44:55,09/30/2021 19:44:56,00:00:01.1530280,Second 1 B,30.0%,yes,09/30/2021 19:44:59
4,yes,09/30/2021 19:44:59,00:00:01.2369910,09/30/2021 19:45:00,09/30/2021 19:45:02,00:00:01.3880500,First A,yes,Second 1,09/30/2021 19:45:03,09/30/2021 19:45:05,00:00:01.1833940,Second 1 B,30.0%,no,09/30/2021 19:45:08
5,yes,09/30/2021 19:45:08,00:00:02.8751190,09/30/2021 19:45:10,09/30/2021 19:45:12,00:00:01.1496990,First A,no,Second 2,09/30/2021 19:45:13,09/30/2021 19:45:14,00:00:01.3171160,Second 2 A,30.0%,no,09/30/2021 19:45:17
6,yes,09/30/2021 19:45:17,00:00:01.2884970,09/30/2021 19:45:19,09/30/2021 19:45:20,00:00:01.0702940,First A,no,Second 2,09/30/2021 19:45:21,09/30/2021 19:45:23,00:00:01.3367980,Second 2 B,30.0%,no,09/30/2021 19:45:26
7,yes,09/30/2021 19:45:26,00:00:01.4235030,09/30/2021 19:45:27,09/30/2021 19:45:28,00:00:01.2023020,First B,yes,Second 2,09/30/2021 19:45:30,09/30/2021 19:45:31,00:00:01.1845650,Second 2 B,30.0%,no,09/30/2021 19:45:34
8,yes,09/30/2021 19:45:34,00:00:04.5620860,09/30/2021 19:45:39,09/30/2021 19:45:40,00:00:01.1506510,First A,yes,Second 1,09/30/2021 19:45:41,09/30/2021 19:45:43,00:00:01.4849840,Second 1 A,70.0%,yes,09/30/2021 19:45:46
9,yes,09/30/2021 19:45:46,00:00:08.2859540,09/30/2021 19:45:54,09/30/2021 19:45:55,00:00:01.3228430,First A,yes,Second 1,09/30/2021 19:45:57,09/30/2021 19:45:58,00:00:01.2373830,Second 1 A,70.0%,no,09/30/2021 19:46:01
10,yes,09/30/2021 19:46:01,00:00:07.9728390,09/30/2021 19:46:09,09/30/2021 19:46:10,00:00:01.3186760,First B,yes,Second 2,09/30/2021 19:46:12,09/30/2021 19:46:13,00:00:01.2851550,Second 2 A,30.0%,yes,09/30/2021 19:46:16
11,yes,09/30/2021 19:46:16,00:00:02.1579160,09/30/2021 19:46:18,09/30/2021 19:46:20,00:00:01.4509250,First B,yes,Second 2,09/30/2021 19:46:21,09/30/2021 19:46:23,00:00:01.4854450,Second 2 B,30.0%,no,09/30/2021 19:46:26
12,yes,09/30/2021 19:46:26,00:00:04.9455320,09/30/2021 19:46:31,09/30/2021 19:46:32,00:00:01.1825930,First A,yes,Second 1,09/30/2021 19:46:33,09/30/2021 19:46:35,00:00:01.3159470,Second 1 B,30.0%,yes,09/30/2021 19:46:38
13,no,09/30/2021 19:46:38,00:00:00.7512850,09/30/2021 19:46:38,,,,,,,,,,,,09/30/2021 19:46:40
14,yes,09/30/2021 19:46:40,00:00:00.0501530,09/30/2021 19:46:40,09/30/2021 19:46:42,00:00:01.3530660,First A,no,Second 2,09/30/2021 19:46:43,09/30/2021 19:46:45,00:00:01.4364630,Second 2 B,30.0%,no,09/30/2021 19:46:48
15,yes,09/30/2021 19:46:48,00:00:02.4253720,09/30/2021 19:46:50,09/30/2021 19:46:52,00:00:01.3328950,First B,yes,Second 2,09/30/2021 19:46:53,09/30/2021 19:46:54,00:00:01.2169670,Second 2 B,30.0%,no,09/30/2021 19:46:57
16,yes,09/30/2021 19:46:57,00:00:00.3356700,09/30/2021 19:46:58,09/30/2021 19:46:59,00:00:01.3342120,First A,yes,Second 1,09/30/2021 19:47:00,09/30/2021 19:47:02,00:00:01.2702080,Second 1 B,30.0%,no,09/30/2021 19:47:05
17,yes,09/30/2021 19:47:05,00:00:00.9052000,09/30/2021 19:47:06,09/30/2021 19:47:07,00:00:01.3842290,First A,yes,Second 1,09/30/2021 19:47:09,09/30/2021 19:47:10,00:00:01.3010600,Second 1 B,30.0%,no,09/30/2021 19:47:13
18,yes,09/30/2021 19:47:13,00:00:01.0378140,09/30/2021 19:47:14,09/30/2021 19:47:15,00:00:01.1984630,First A,yes,Second 1,09/30/2021 19:47:17,09/30/2021 19:47:18,00:00:01.1357790,Second 1 A,70.0%,no,09/30/2021 19:47:21
