TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/02/2021 14:19:59,00:00:02.9872610,10/02/2021 14:20:02,10/02/2021 14:20:03,00:00:01.1526670,First B,yes,Second 1,10/02/2021 14:20:05,10/02/2021 14:20:06,00:00:00.8790710,Second 1 B,70.0%,yes,10/02/2021 14:20:09
2,yes,10/02/2021 14:20:09,00:00:04.4283610,10/02/2021 14:20:13,10/02/2021 14:20:14,00:00:00.7906820,First A,yes,Second 2,10/02/2021 14:20:15,10/02/2021 14:20:16,00:00:00.8714300,Second 2 B,30.0%,no,10/02/2021 14:20:19
3,yes,10/02/2021 14:20:19,00:00:01.5957630,10/02/2021 14:20:21,10/02/2021 14:20:22,00:00:01.2755740,First B,no,Second 2,10/02/2021 14:20:24,10/02/2021 14:20:25,00:00:01.1926940,Second 2 A,30.0%,yes,10/02/2021 14:20:28
4,yes,10/02/2021 14:20:28,00:00:00.4191200,10/02/2021 14:20:28,10/02/2021 14:20:29,00:00:01.0241630,First B,yes,Second 1,10/02/2021 14:20:31,10/02/2021 14:20:32,00:00:00.9047860,Second 1 B,70.0%,yes,10/02/2021 14:20:35
5,yes,10/02/2021 14:20:35,00:00:02.2339640,10/02/2021 14:20:37,10/02/2021 14:20:38,00:00:00.9268900,First B,no,Second 2,10/02/2021 14:20:39,10/02/2021 14:20:41,00:00:01.1564000,Second 2 A,30.0%,yes,10/02/2021 14:20:44
6,yes,10/02/2021 14:20:44,00:00:02.2522570,10/02/2021 14:20:46,10/02/2021 14:20:47,00:00:00.8221050,First A,no,Second 1,10/02/2021 14:20:48,10/02/2021 14:20:49,00:00:00.9082460,Second 1 A,30.0%,no,10/02/2021 14:20:52
7,yes,10/02/2021 14:20:52,00:00:01.1789950,10/02/2021 14:20:53,10/02/2021 14:20:54,00:00:00.8691770,First A,yes,Second 2,10/02/2021 14:20:56,10/02/2021 14:20:56,00:00:00.8061280,Second 2 B,30.0%,yes,10/02/2021 14:21:00
8,yes,10/02/2021 14:21:00,00:00:00.5399650,10/02/2021 14:21:00,10/02/2021 14:21:01,00:00:01.0068020,First A,no,Second 1,10/02/2021 14:21:03,10/02/2021 14:21:03,00:00:00.8199100,Second 1 A,30.0%,no,10/02/2021 14:21:06
9,yes,10/02/2021 14:21:06,00:00:00.1740860,10/02/2021 14:21:07,10/02/2021 14:21:07,00:00:00.9020510,First B,no,Second 2,10/02/2021 14:21:09,10/02/2021 14:21:10,00:00:00.9723350,Second 2 A,30.0%,no,10/02/2021 14:21:13
10,yes,10/02/2021 14:21:13,00:00:05.1412090,10/02/2021 14:21:18,10/02/2021 14:21:19,00:00:00.8905500,First B,yes,Second 1,10/02/2021 14:21:21,10/02/2021 14:21:22,00:00:01.2415110,Second 1 A,30.0%,no,10/02/2021 14:21:25
11,yes,10/02/2021 14:21:25,00:00:00.4548480,10/02/2021 14:21:25,10/02/2021 14:21:26,00:00:00.8564300,First B,yes,Second 1,10/02/2021 14:21:28,10/02/2021 14:21:28,00:00:00.7379790,Second 1 B,70.0%,yes,10/02/2021 14:21:31
12,yes,10/02/2021 14:21:31,00:00:01.1449150,10/02/2021 14:21:33,10/02/2021 14:21:34,00:00:01.0715200,First B,no,Second 2,10/02/2021 14:21:35,10/02/2021 14:21:36,00:00:00.9865970,Second 2 A,30.0%,no,10/02/2021 14:21:39
13,yes,10/02/2021 14:21:39,00:00:03.9334970,10/02/2021 14:21:43,10/02/2021 14:21:44,00:00:00.9726170,First A,yes,Second 2,10/02/2021 14:21:46,10/02/2021 14:21:46,00:00:00.9070150,Second 2 A,30.0%,no,10/02/2021 14:21:49
14,yes,10/02/2021 14:21:49,00:00:04.1876910,10/02/2021 14:21:54,10/02/2021 14:21:55,00:00:00.8879300,First B,no,Second 2,10/02/2021 14:21:56,10/02/2021 14:21:57,00:00:01.2596940,Second 2 A,30.0%,yes,10/02/2021 14:22:00
15,yes,10/02/2021 14:22:00,00:00:04.2501110,10/02/2021 14:22:05,10/02/2021 14:22:05,00:00:00.8419960,First B,yes,Second 1,10/02/2021 14:22:07,10/02/2021 14:22:08,00:00:00.9738470,Second 1 A,30.0%,no,10/02/2021 14:22:11
16,yes,10/02/2021 14:22:11,00:00:00.6235080,10/02/2021 14:22:12,10/02/2021 14:22:13,00:00:01.0908760,First B,yes,Second 1,10/02/2021 14:22:14,10/02/2021 14:22:15,00:00:00.8545090,Second 1 B,70.0%,yes,10/02/2021 14:22:18
