TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/02/2021 14:24:48,00:00:02.6544910,10/02/2021 14:24:50,10/02/2021 14:24:51,00:00:00.9208630,First B,yes,Second 1,10/02/2021 14:24:53,10/02/2021 14:24:54,00:00:01.1496510,Second 1 B,30.0%,no,10/02/2021 14:24:57
2,yes,10/02/2021 14:24:57,00:00:00.8405550,10/02/2021 14:24:58,10/02/2021 14:24:59,00:00:00.9845800,First B,yes,Second 1,10/02/2021 14:25:00,10/02/2021 14:25:01,00:00:01.0521600,Second 1 B,30.0%,no,10/02/2021 14:25:04
3,yes,10/02/2021 14:25:04,00:00:02.4314170,10/02/2021 14:25:07,10/02/2021 14:25:08,00:00:01.0208160,First B,yes,Second 1,10/02/2021 14:25:09,10/02/2021 14:25:11,00:00:01.2767710,Second 1 A,70.0%,yes,10/02/2021 14:25:14
4,yes,10/02/2021 14:25:14,00:00:02.3831150,10/02/2021 14:25:16,10/02/2021 14:25:17,00:00:01.1198830,First B,yes,Second 1,10/02/2021 14:25:19,10/02/2021 14:25:20,00:00:01.1641960,Second 1 A,70.0%,yes,10/02/2021 14:25:23
5,yes,10/02/2021 14:25:23,00:00:00.0564140,10/02/2021 14:25:23,10/02/2021 14:25:24,00:00:01.0099640,First B,yes,Second 1,10/02/2021 14:25:25,10/02/2021 14:25:26,00:00:01.0190030,Second 1 A,70.0%,no,10/02/2021 14:25:29
6,yes,10/02/2021 14:25:29,00:00:03.3280920,10/02/2021 14:25:33,10/02/2021 14:25:34,00:00:01.0090850,First B,yes,Second 1,10/02/2021 14:25:35,10/02/2021 14:25:36,00:00:00.9516940,Second 1 A,70.0%,no,10/02/2021 14:25:39
7,yes,10/02/2021 14:25:39,00:00:03.9339880,10/02/2021 14:25:43,10/02/2021 14:25:44,00:00:00.9069080,First B,yes,Second 1,10/02/2021 14:25:45,10/02/2021 14:25:46,00:00:00.9185690,Second 1 A,70.0%,yes,10/02/2021 14:25:49
8,yes,10/02/2021 14:25:49,00:00:03.2292580,10/02/2021 14:25:53,10/02/2021 14:25:54,00:00:01.0296440,First B,no,Second 2,10/02/2021 14:25:55,10/02/2021 14:25:56,00:00:01.2652490,Second 2 A,30.0%,yes,10/02/2021 14:25:59
9,yes,10/02/2021 14:25:59,00:00:00.3922240,10/02/2021 14:26:00,10/02/2021 14:26:01,00:00:00.9748790,First B,yes,Second 1,10/02/2021 14:26:02,10/02/2021 14:26:03,00:00:01.1098200,Second 1 A,70.0%,yes,10/02/2021 14:26:06
10,yes,10/02/2021 14:26:06,00:00:00.1246630,10/02/2021 14:26:07,10/02/2021 14:26:07,00:00:00.9864440,First B,yes,Second 1,10/02/2021 14:26:09,10/02/2021 14:26:10,00:00:00.9759000,Second 1 A,70.0%,yes,10/02/2021 14:26:13
11,yes,10/02/2021 14:26:13,00:00:02.7375340,10/02/2021 14:26:16,10/02/2021 14:26:17,00:00:00.8838280,First B,yes,Second 1,10/02/2021 14:26:18,10/02/2021 14:26:19,00:00:00.9870500,Second 1 A,70.0%,yes,10/02/2021 14:26:22
12,yes,10/02/2021 14:26:22,00:00:00.9646600,10/02/2021 14:26:23,10/02/2021 14:26:24,00:00:00.9402060,First B,no,Second 2,10/02/2021 14:26:25,10/02/2021 14:26:27,00:00:01.3782050,Second 2 B,30.0%,no,10/02/2021 14:26:30
13,yes,10/02/2021 14:26:30,00:00:01.0443270,10/02/2021 14:26:31,10/02/2021 14:26:32,00:00:00.8613720,First B,no,Second 2,10/02/2021 14:26:33,10/02/2021 14:26:34,00:00:00.9774470,Second 2 A,30.0%,no,10/02/2021 14:26:37
14,no,10/02/2021 14:26:37,00:00:05.6349240,10/02/2021 14:26:43,,,,,,,,,,,,10/02/2021 14:26:45
15,no,10/02/2021 14:26:45,,,,,,,,,,,,,,01/01/0001 00:00:00
16,yes,10/02/2021 14:28:58,00:00:02.4650630,10/02/2021 14:29:01,10/02/2021 14:29:01,00:00:00.8954920,First B,yes,Second 1,10/02/2021 14:29:03,10/02/2021 14:29:04,00:00:01.0321750,Second 1 A,70.0%,yes,10/02/2021 14:29:07
17,yes,10/02/2021 14:29:07,00:00:00.3925650,10/02/2021 14:29:07,10/02/2021 14:29:08,00:00:01.0970990,First B,no,Second 2,10/02/2021 14:29:10,10/02/2021 14:29:11,00:00:01.3881460,Second 2 A,30.0%,no,10/02/2021 14:29:14
18,yes,10/02/2021 14:29:14,00:00:04.7500880,10/02/2021 14:29:19,10/02/2021 14:29:20,00:00:00.8732490,First A,no,Second 1,10/02/2021 14:29:21,10/02/2021 14:29:22,00:00:00.9073950,Second 1 B,30.0%,no,10/02/2021 14:29:25
19,yes,10/02/2021 14:29:25,00:00:01.6026120,10/02/2021 14:29:27,10/02/2021 14:29:28,00:00:01.0755360,First A,yes,Second 2,10/02/2021 14:29:30,10/02/2021 14:29:31,00:00:01.1207100,Second 2 A,30.0%,no,10/02/2021 14:29:34
20,yes,10/02/2021 14:29:34,00:00:01.7031280,10/02/2021 14:29:35,10/02/2021 14:29:36,00:00:00.7844740,First A,yes,Second 2,10/02/2021 14:29:38,10/02/2021 14:29:39,00:00:01.3545470,Second 2 A,30.0%,no,10/02/2021 14:29:42
21,yes,10/02/2021 14:29:42,00:00:00.1907670,10/02/2021 14:29:42,10/02/2021 14:29:43,00:00:00.9747890,First A,yes,Second 2,10/02/2021 14:29:45,10/02/2021 14:29:46,00:00:01.0075870,Second 2 B,30.0%,yes,10/02/2021 14:29:49
22,yes,10/02/2021 14:29:49,00:00:01.7918820,10/02/2021 14:29:51,10/02/2021 14:29:52,00:00:01.0303090,First B,yes,Second 1,10/02/2021 14:29:53,10/02/2021 14:29:54,00:00:01.2201630,Second 1 A,70.0%,yes,10/02/2021 14:29:57
