TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/02/2021 12:29:14,00:00:01.2802390,10/02/2021 12:29:16,10/02/2021 12:29:17,00:00:01.3951260,First A,yes,Second 2,10/02/2021 12:29:19,10/02/2021 12:29:20,00:00:01.3075030,Second 2 B,70.0%,yes,10/02/2021 12:29:23
2,yes,10/02/2021 12:29:23,00:00:01.7852610,10/02/2021 12:29:25,10/02/2021 12:29:26,00:00:01.2836170,First A,yes,Second 2,10/02/2021 12:29:27,10/02/2021 12:29:29,00:00:01.5003920,Second 2 B,70.0%,yes,10/02/2021 12:29:32
3,yes,10/02/2021 12:29:32,00:00:04.3766560,10/02/2021 12:29:36,10/02/2021 12:29:38,00:00:01.2663850,First A,yes,Second 2,10/02/2021 12:29:39,10/02/2021 12:29:40,00:00:01.2687440,Second 2 B,70.0%,yes,10/02/2021 12:29:43
4,yes,10/02/2021 12:29:43,00:00:00.5066280,10/02/2021 12:29:44,10/02/2021 12:29:45,00:00:01.2809020,First A,no,Second 1,10/02/2021 12:29:47,10/02/2021 12:29:48,00:00:01.4828190,Second 1 A,30.0%,no,10/02/2021 12:29:51
5,yes,10/02/2021 12:29:51,00:00:01.1352270,10/02/2021 12:29:52,10/02/2021 12:29:53,00:00:01.0683630,First A,no,Second 1,10/02/2021 12:29:55,10/02/2021 12:29:56,00:00:01.4652230,Second 1 B,30.0%,no,10/02/2021 12:29:59
6,yes,10/02/2021 12:29:59,00:00:02.0219590,10/02/2021 12:30:01,10/02/2021 12:30:02,00:00:01.0160230,First A,no,Second 1,10/02/2021 12:30:04,10/02/2021 12:30:05,00:00:01.3011530,Second 1 A,30.0%,no,10/02/2021 12:30:08
7,yes,10/02/2021 12:30:08,00:00:00.0984410,10/02/2021 12:30:08,10/02/2021 12:30:10,00:00:01.1826680,First A,yes,Second 2,10/02/2021 12:30:11,10/02/2021 12:30:12,00:00:01.2347430,Second 2 B,70.0%,yes,10/02/2021 12:30:15
8,yes,10/02/2021 12:30:15,00:00:00.2576660,10/02/2021 12:30:16,10/02/2021 12:30:17,00:00:01.1441070,First A,yes,Second 2,10/02/2021 12:30:18,10/02/2021 12:30:19,00:00:01.2832330,Second 2 B,70.0%,yes,10/02/2021 12:30:22
9,yes,10/02/2021 12:30:22,00:00:00.8101010,10/02/2021 12:30:23,10/02/2021 12:30:24,00:00:00.9967520,First A,yes,Second 2,10/02/2021 12:30:26,10/02/2021 12:30:27,00:00:01.1496420,Second 2 B,70.0%,yes,10/02/2021 12:30:30
10,yes,10/02/2021 12:30:30,00:00:00.5340450,10/02/2021 12:30:30,10/02/2021 12:30:31,00:00:00.9660830,First A,yes,Second 2,10/02/2021 12:30:33,10/02/2021 12:30:34,00:00:00.9839720,Second 2 B,70.0%,yes,10/02/2021 12:30:37
11,yes,10/02/2021 12:30:37,00:00:00.4193750,10/02/2021 12:30:37,10/02/2021 12:30:38,00:00:01.0186190,First A,no,Second 1,10/02/2021 12:30:40,10/02/2021 12:30:41,00:00:01.3830770,Second 1 B,30.0%,no,10/02/2021 12:30:44
12,yes,10/02/2021 12:30:44,00:00:02.6914700,10/02/2021 12:30:47,10/02/2021 12:30:48,00:00:00.9346470,First A,yes,Second 2,10/02/2021 12:30:49,10/02/2021 12:30:50,00:00:00.9501400,Second 2 B,70.0%,no,10/02/2021 12:30:53
13,yes,10/02/2021 12:30:53,00:00:02.3374210,10/02/2021 12:30:56,10/02/2021 12:30:57,00:00:01.4361150,First A,yes,Second 2,10/02/2021 12:30:59,10/02/2021 12:30:59,00:00:00.8660370,Second 2 B,70.0%,yes,10/02/2021 12:31:02
14,yes,10/02/2021 12:31:02,00:00:01.1678970,10/02/2021 12:31:04,10/02/2021 12:31:05,00:00:01.1156930,First A,yes,Second 2,10/02/2021 12:31:06,10/02/2021 12:31:07,00:00:00.8789750,Second 2 B,70.0%,yes,10/02/2021 12:31:10
15,yes,10/02/2021 12:31:10,00:00:02.4033390,10/02/2021 12:31:13,10/02/2021 12:31:13,00:00:00.9193500,First A,yes,Second 2,10/02/2021 12:31:15,10/02/2021 12:31:16,00:00:01.2057770,Second 2 B,70.0%,yes,10/02/2021 12:31:19
16,yes,10/02/2021 12:31:19,00:00:02.0040230,10/02/2021 12:31:21,10/02/2021 12:31:22,00:00:00.8180200,First A,no,Second 1,10/02/2021 12:31:24,10/02/2021 12:31:25,00:00:01.3146090,Second 1 A,30.0%,yes,10/02/2021 12:31:28
17,yes,10/02/2021 12:31:28,00:00:00.8380260,10/02/2021 12:31:29,10/02/2021 12:31:30,00:00:01.3816520,First A,yes,Second 2,10/02/2021 12:31:32,10/02/2021 12:31:33,00:00:01.4331460,Second 2 B,70.0%,no,10/02/2021 12:31:36
18,yes,10/02/2021 12:31:36,00:00:04.3714310,10/02/2021 12:31:40,10/02/2021 12:31:42,00:00:01.2818090,First A,yes,Second 2,10/02/2021 12:31:43,10/02/2021 12:31:44,00:00:00.9716690,Second 2 B,70.0%,no,10/02/2021 12:31:47
