TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/04/2021 21:02:57,00:00:04.0270700,10/04/2021 21:03:01,10/04/2021 21:03:02,00:00:01.1437170,First B,yes,Second 1,10/04/2021 21:03:03,10/04/2021 21:03:04,00:00:01.1252010,Second 1 A,30.0%,yes,10/04/2021 21:03:07
2,yes,10/04/2021 21:03:07,00:00:00.3405930,10/04/2021 21:03:08,10/04/2021 21:03:09,00:00:01.1211370,First B,yes,Second 1,10/04/2021 21:03:10,10/04/2021 21:03:11,00:00:00.6189200,Second 1 A,30.0%,yes,10/04/2021 21:03:14
3,yes,10/04/2021 21:03:14,00:00:02.6263030,10/04/2021 21:03:17,10/04/2021 21:03:18,00:00:00.9306490,First B,yes,Second 1,10/04/2021 21:03:19,10/04/2021 21:03:20,00:00:00.8394320,Second 1 A,30.0%,no,10/04/2021 21:03:23
4,yes,10/04/2021 21:03:23,00:00:01.4570610,10/04/2021 21:03:24,10/04/2021 21:03:25,00:00:00.7321400,First A,no,Second 1,10/04/2021 21:03:27,10/04/2021 21:03:27,00:00:00.7393850,Second 1 A,30.0%,no,10/04/2021 21:03:30
5,yes,10/04/2021 21:03:30,00:00:01.3378880,10/04/2021 21:03:32,10/04/2021 21:03:32,00:00:00.7848480,First B,yes,Second 1,10/04/2021 21:03:34,10/04/2021 21:03:35,00:00:00.9014220,Second 1 A,30.0%,no,10/04/2021 21:03:38
6,yes,10/04/2021 21:03:38,00:00:00.9192880,10/04/2021 21:03:39,10/04/2021 21:03:40,00:00:00.9351050,First B,no,Second 2,10/04/2021 21:03:41,10/04/2021 21:03:43,00:00:01.5329450,Second 2 A,30.0%,no,10/04/2021 21:03:46
7,yes,10/04/2021 21:03:46,00:00:09.1358710,10/04/2021 21:03:55,10/04/2021 21:03:56,00:00:01.0011170,First B,yes,Second 1,10/04/2021 21:03:57,10/04/2021 21:03:58,00:00:00.7731100,Second 1 A,30.0%,yes,10/04/2021 21:04:01
8,yes,10/04/2021 21:04:01,00:00:00.9004910,10/04/2021 21:04:02,10/04/2021 21:04:04,00:00:01.4179090,First A,no,Second 1,10/04/2021 21:04:05,10/04/2021 21:04:06,00:00:00.7853550,Second 1 B,30.0%,no,10/04/2021 21:04:09
9,yes,10/04/2021 21:04:09,00:00:03.1561240,10/04/2021 21:04:12,10/04/2021 21:04:13,00:00:00.7839160,First B,no,Second 2,10/04/2021 21:04:14,10/04/2021 21:04:16,00:00:01.2729980,Second 2 B,70.0%,yes,10/04/2021 21:04:19
10,yes,10/04/2021 21:04:19,00:00:00.7865200,10/04/2021 21:04:19,10/04/2021 21:04:20,00:00:00.6993020,First B,no,Second 2,10/04/2021 21:04:22,10/04/2021 21:04:23,00:00:01.2859000,Second 2 B,70.0%,yes,10/04/2021 21:04:26
11,yes,10/04/2021 21:04:26,00:00:02.1710770,10/04/2021 21:04:28,10/04/2021 21:04:29,00:00:00.7179870,First B,yes,Second 1,10/04/2021 21:04:30,10/04/2021 21:04:31,00:00:00.9161790,Second 1 A,30.0%,no,10/04/2021 21:04:34
12,yes,10/04/2021 21:04:34,00:00:04.1625360,10/04/2021 21:04:38,10/04/2021 21:04:39,00:00:00.8329620,First B,yes,Second 1,10/04/2021 21:04:41,10/04/2021 21:04:42,00:00:01.2506980,Second 1 A,30.0%,no,10/04/2021 21:04:45
13,yes,10/04/2021 21:04:45,00:00:01.9905900,10/04/2021 21:04:47,10/04/2021 21:04:48,00:00:00.7161350,First B,yes,Second 1,10/04/2021 21:04:49,10/04/2021 21:04:50,00:00:00.8144630,Second 1 B,30.0%,yes,10/04/2021 21:04:53
14,yes,10/04/2021 21:04:53,00:00:01.6704350,10/04/2021 21:04:55,10/04/2021 21:04:56,00:00:01.3032080,First A,yes,Second 2,10/04/2021 21:04:57,10/04/2021 21:04:59,00:00:01.5056580,Second 2 A,30.0%,no,10/04/2021 21:05:02
15,yes,10/04/2021 21:05:02,00:00:00.4023450,10/04/2021 21:05:02,10/04/2021 21:05:03,00:00:01.1210380,First B,no,Second 2,10/04/2021 21:05:05,10/04/2021 21:05:06,00:00:01.2850440,Second 2 B,70.0%,yes,10/04/2021 21:05:09
16,yes,10/04/2021 21:05:09,00:00:03.1415850,10/04/2021 21:05:12,10/04/2021 21:05:13,00:00:00.6834800,First B,yes,Second 1,10/04/2021 21:05:15,10/04/2021 21:05:15,00:00:00.7005630,Second 1 A,30.0%,no,10/04/2021 21:05:18
17,yes,10/04/2021 21:05:18,00:00:00.9202450,10/04/2021 21:05:19,10/04/2021 21:05:21,00:00:01.3670240,First A,no,Second 1,10/04/2021 21:05:22,10/04/2021 21:05:23,00:00:00.6681740,Second 1 A,30.0%,no,10/04/2021 21:05:26
18,yes,10/04/2021 21:05:26,00:00:00.0875030,10/04/2021 21:05:26,10/04/2021 21:05:27,00:00:00.7836620,First A,yes,Second 2,10/04/2021 21:05:28,10/04/2021 21:05:29,00:00:01.2203600,Second 2 B,70.0%,yes,10/04/2021 21:05:32
19,yes,10/04/2021 21:05:32,00:00:01.2667920,10/04/2021 21:05:34,10/04/2021 21:05:35,00:00:00.9541400,First A,yes,Second 2,10/04/2021 21:05:36,10/04/2021 21:05:37,00:00:00.7840050,Second 2 B,70.0%,no,10/04/2021 21:05:40
20,yes,10/04/2021 21:05:40,00:00:01.0360550,10/04/2021 21:05:41,10/04/2021 21:05:42,00:00:00.7827060,First B,yes,Second 1,10/04/2021 21:05:43,10/04/2021 21:05:44,00:00:00.7212270,Second 1 A,30.0%,no,10/04/2021 21:05:47
21,yes,10/04/2021 21:05:47,00:00:05.4480130,10/04/2021 21:05:52,10/04/2021 21:05:53,00:00:01.1027280,First B,yes,Second 1,10/04/2021 21:05:55,10/04/2021 21:05:56,00:00:01.3230830,Second 1 A,30.0%,no,10/04/2021 21:05:59
22,yes,10/04/2021 21:05:59,00:00:02.8415350,10/04/2021 21:06:02,10/04/2021 21:06:03,00:00:01.2532810,First B,yes,Second 1,10/04/2021 21:06:05,10/04/2021 21:06:06,00:00:00.7346120,Second 1 A,30.0%,no,10/04/2021 21:06:09
23,yes,10/04/2021 21:06:09,00:00:02.5241060,10/04/2021 21:06:11,10/04/2021 21:06:12,00:00:00.7979670,First B,yes,Second 1,10/04/2021 21:06:13,10/04/2021 21:06:14,00:00:00.7266700,Second 1 A,30.0%,no,10/04/2021 21:06:17
24,yes,10/04/2021 21:06:17,00:00:00.3202810,10/04/2021 21:06:18,10/04/2021 21:06:18,00:00:00.5992040,First B,yes,Second 1,10/04/2021 21:06:20,10/04/2021 21:06:20,00:00:00.5713890,Second 1 A,30.0%,yes,10/04/2021 21:06:23
25,yes,10/04/2021 21:06:23,00:00:01.1220240,10/04/2021 21:06:24,10/04/2021 21:06:26,00:00:01.1850480,First A,yes,Second 2,10/04/2021 21:06:27,10/04/2021 21:06:28,00:00:00.6975680,Second 2 B,70.0%,no,10/04/2021 21:06:31
26,yes,10/04/2021 21:06:31,00:00:05.4639740,10/04/2021 21:06:36,10/04/2021 21:06:37,00:00:00.9508110,First B,yes,Second 1,10/04/2021 21:06:39,10/04/2021 21:06:40,00:00:00.9018710,Second 1 A,30.0%,no,10/04/2021 21:06:43
27,yes,10/04/2021 21:06:43,00:00:01.1978110,10/04/2021 21:06:44,10/04/2021 21:06:45,00:00:00.9066490,First A,yes,Second 2,10/04/2021 21:06:46,10/04/2021 21:06:47,00:00:00.7854920,Second 2 B,70.0%,no,10/04/2021 21:06:50
