TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,no,10/04/2021 21:11:24,00:00:00.4219140,10/04/2021 21:11:24,,,,,,,,,,,,10/04/2021 21:11:26
2,yes,10/04/2021 21:11:26,00:00:02.8869920,10/04/2021 21:11:29,10/04/2021 21:11:30,00:00:01.1210280,First B,yes,Second 2,10/04/2021 21:11:32,10/04/2021 21:11:33,00:00:01.2498540,Second 2 B,30.0%,no,10/04/2021 21:11:36
3,yes,10/04/2021 21:11:36,00:00:00.8036450,10/04/2021 21:11:37,10/04/2021 21:11:38,00:00:01.1669270,First B,yes,Second 2,10/04/2021 21:11:39,10/04/2021 21:11:40,00:00:01.0333260,Second 2 B,30.0%,no,10/04/2021 21:11:43
4,yes,10/04/2021 21:11:43,00:00:01.5432350,10/04/2021 21:11:45,10/04/2021 21:11:46,00:00:01.3312490,First B,no,Second 1,10/04/2021 21:11:48,10/04/2021 21:11:49,00:00:01.1523340,Second 1 A,30.0%,no,10/04/2021 21:11:52
5,yes,10/04/2021 21:11:52,00:00:01.7888610,10/04/2021 21:11:54,10/04/2021 21:11:55,00:00:01.0524620,First B,yes,Second 2,10/04/2021 21:11:56,10/04/2021 21:11:57,00:00:01.1694790,Second 2 A,30.0%,yes,10/04/2021 21:12:00
6,yes,10/04/2021 21:12:00,00:00:04.2805220,10/04/2021 21:12:05,10/04/2021 21:12:06,00:00:01.0321090,First B,no,Second 1,10/04/2021 21:12:07,10/04/2021 21:12:08,00:00:01.2160460,Second 1 B,70.0%,yes,10/04/2021 21:12:11
7,yes,10/04/2021 21:12:11,00:00:00.5171960,10/04/2021 21:12:12,10/04/2021 21:12:13,00:00:01.0879510,First B,yes,Second 2,10/04/2021 21:12:15,10/04/2021 21:12:16,00:00:01.3687960,Second 2 A,30.0%,yes,10/04/2021 21:12:19
8,yes,10/04/2021 21:12:19,00:00:04.0918680,10/04/2021 21:12:23,10/04/2021 21:12:24,00:00:01.1188280,First B,no,Second 1,10/04/2021 21:12:26,10/04/2021 21:12:27,00:00:01.0992860,Second 1 B,70.0%,no,10/04/2021 21:12:30
9,yes,10/04/2021 21:12:30,00:00:00.0519900,10/04/2021 21:12:30,10/04/2021 21:12:31,00:00:01.1017680,First B,yes,Second 2,10/04/2021 21:12:32,10/04/2021 21:12:33,00:00:01.0140490,Second 2 A,30.0%,yes,10/04/2021 21:12:36
10,yes,10/04/2021 21:12:36,00:00:03.2588850,10/04/2021 21:12:40,10/04/2021 21:12:41,00:00:01.1011870,First B,no,Second 1,10/04/2021 21:12:42,10/04/2021 21:12:44,00:00:01.3170120,Second 1 B,70.0%,no,10/04/2021 21:12:47
11,yes,10/04/2021 21:12:47,00:00:05.3321050,10/04/2021 21:12:52,10/04/2021 21:12:53,00:00:01.2169180,First B,no,Second 1,10/04/2021 21:12:55,10/04/2021 21:12:56,00:00:01.2695950,Second 1 B,70.0%,no,10/04/2021 21:12:59
12,yes,10/04/2021 21:12:59,00:00:01.0382480,10/04/2021 21:13:00,10/04/2021 21:13:01,00:00:01.1362610,First B,no,Second 1,10/04/2021 21:13:03,10/04/2021 21:13:04,00:00:01.0332420,Second 1 A,30.0%,no,10/04/2021 21:13:07
