TrialNumber,Completed,Timestamp Before Black Screen,Black Screen Duration,Timestamp First Choice Shown,Timestamp First Decision,First Choice Reaction Time,First Choice,Common Transition,Second Stage,Timestamp Second Choice Shown,Timestamp Second Decision,Second Decision Reaction Time,Second Choice,Reward Probability,Reward,Timestamp End
1,yes,10/04/2021 21:18:58,00:00:05.2871640,10/04/2021 21:19:03,10/04/2021 21:19:04,00:00:01.1502430,First B,yes,Second 1,10/04/2021 21:19:06,10/04/2021 21:19:07,00:00:01.2106010,Second 1 B,70.0%,yes,10/04/2021 21:19:10
2,yes,10/04/2021 21:19:10,00:00:03.0480970,10/04/2021 21:19:13,10/04/2021 21:19:14,00:00:01.1501150,First B,no,Second 2,10/04/2021 21:19:16,10/04/2021 21:19:17,00:00:01.0865930,Second 2 B,30.0%,no,10/04/2021 21:19:20
3,yes,10/04/2021 21:19:20,00:00:01.4700240,10/04/2021 21:19:21,10/04/2021 21:19:22,00:00:01.1020770,First B,yes,Second 1,10/04/2021 21:19:24,10/04/2021 21:19:25,00:00:01.1650390,Second 1 A,30.0%,no,10/04/2021 21:19:28
4,yes,10/04/2021 21:19:28,00:00:07.6337600,10/04/2021 21:19:36,10/04/2021 21:19:37,00:00:01.1365330,First B,yes,Second 1,10/04/2021 21:19:38,10/04/2021 21:19:40,00:00:01.3139310,Second 1 B,70.0%,yes,10/04/2021 21:19:43
5,yes,10/04/2021 21:19:43,00:00:04.8489960,10/04/2021 21:19:47,10/04/2021 21:19:49,00:00:01.1629340,First B,yes,Second 1,10/04/2021 21:19:50,10/04/2021 21:19:51,00:00:01.1179610,Second 1 B,70.0%,yes,10/04/2021 21:19:54
6,yes,10/04/2021 21:19:54,00:00:00.8047020,10/04/2021 21:19:55,10/04/2021 21:19:56,00:00:01.1328140,First B,yes,Second 1,10/04/2021 21:19:58,10/04/2021 21:19:59,00:00:01.1824500,Second 1 B,70.0%,no,10/04/2021 21:20:02
7,yes,10/04/2021 21:20:02,00:00:02.0564370,10/04/2021 21:20:04,10/04/2021 21:20:05,00:00:01.1346160,First B,yes,Second 1,10/04/2021 21:20:07,10/04/2021 21:20:08,00:00:01.0969420,Second 1 B,70.0%,yes,10/04/2021 21:20:11
8,yes,10/04/2021 21:20:11,00:00:01.8715800,10/04/2021 21:20:13,10/04/2021 21:20:14,00:00:01.1335000,First B,no,Second 2,10/04/2021 21:20:15,10/04/2021 21:20:16,00:00:01.2496700,Second 2 A,30.0%,no,10/04/2021 21:20:19
9,yes,10/04/2021 21:20:19,00:00:01.6704770,10/04/2021 21:20:21,10/04/2021 21:20:22,00:00:01.0665130,First B,no,Second 2,10/04/2021 21:20:24,10/04/2021 21:20:25,00:00:01.1691550,Second 2 B,30.0%,yes,10/04/2021 21:20:28
10,yes,10/04/2021 21:20:28,00:00:00.6037420,10/04/2021 21:20:28,10/04/2021 21:20:29,00:00:01.0176320,First B,no,Second 2,10/04/2021 21:20:31,10/04/2021 21:20:32,00:00:01.1511440,Second 2 B,30.0%,no,10/04/2021 21:20:35
11,yes,10/04/2021 21:20:35,00:00:01.7224250,10/04/2021 21:20:37,10/04/2021 21:20:38,00:00:00.9651700,First B,yes,Second 1,10/04/2021 21:20:39,10/04/2021 21:20:40,00:00:01.1231460,Second 1 B,70.0%,yes,10/04/2021 21:20:43
12,yes,10/04/2021 21:20:43,00:00:02.4224440,10/04/2021 21:20:46,10/04/2021 21:20:47,00:00:01.0646540,First B,yes,Second 1,10/04/2021 21:20:48,10/04/2021 21:20:49,00:00:00.9973510,Second 1 B,70.0%,yes,10/04/2021 21:20:52
13,yes,10/04/2021 21:20:52,00:00:04.7315620,10/04/2021 21:20:57,10/04/2021 21:20:58,00:00:01.0145510,First B,no,Second 2,10/04/2021 21:21:00,10/04/2021 21:21:01,00:00:01.2481720,Second 2 B,30.0%,yes,10/04/2021 21:21:04
14,yes,10/04/2021 21:21:04,00:00:01.1023400,10/04/2021 21:21:05,10/04/2021 21:21:06,00:00:01.0505480,First B,no,Second 2,10/04/2021 21:21:08,10/04/2021 21:21:09,00:00:01.1682870,Second 2 B,30.0%,yes,10/04/2021 21:21:12
15,yes,10/04/2021 21:21:12,00:00:01.6671030,10/04/2021 21:21:13,10/04/2021 21:21:15,00:00:01.1169490,First B,yes,Second 1,10/04/2021 21:21:16,10/04/2021 21:21:17,00:00:01.1348370,Second 1 B,70.0%,yes,10/04/2021 21:21:20
16,yes,10/04/2021 21:21:20,00:00:00.6380050,10/04/2021 21:21:21,10/04/2021 21:21:22,00:00:01.0817750,First B,yes,Second 1,10/04/2021 21:21:23,10/04/2021 21:21:24,00:00:01.0148740,Second 1 B,70.0%,yes,10/04/2021 21:21:27
17,no,10/04/2021 21:21:27,00:00:00.2491440,10/04/2021 21:21:28,10/04/2021 21:21:29,00:00:01.0345970,First B,no,Second 2,10/04/2021 21:21:30,10/04/2021 21:21:31,00:00:01.1509070,Second 2 B,30.0%,no,10/04/2021 21:21:34
18,no,10/04/2021 21:21:34,,,,,,,,,,,,,,01/01/0001 00:00:00
19,yes,10/04/2021 21:21:57,00:00:00.3343940,10/04/2021 21:21:57,10/04/2021 21:21:58,00:00:01.0178620,First B,yes,Second 1,10/04/2021 21:22:00,10/04/2021 21:22:01,00:00:01.1696660,Second 1 B,70.0%,yes,10/04/2021 21:22:04
20,yes,10/04/2021 21:22:04,00:00:02.2911600,10/04/2021 21:22:06,10/04/2021 21:22:07,00:00:01.1345940,First B,yes,Second 1,10/04/2021 21:22:09,10/04/2021 21:22:10,00:00:01.0181020,Second 1 B,70.0%,yes,10/04/2021 21:22:13
21,yes,10/04/2021 21:22:13,00:00:01.0701290,10/04/2021 21:22:14,10/04/2021 21:22:15,00:00:01.1710510,First B,no,Second 2,10/04/2021 21:22:16,10/04/2021 21:22:18,00:00:01.1329060,Second 2 B,30.0%,no,10/04/2021 21:22:21
22,yes,10/04/2021 21:22:21,00:00:00.1649140,10/04/2021 21:22:21,10/04/2021 21:22:22,00:00:01.0546320,First B,yes,Second 1,10/04/2021 21:22:23,10/04/2021 21:22:24,00:00:01.0187880,Second 1 B,70.0%,no,10/04/2021 21:22:27
23,yes,10/04/2021 21:22:27,00:00:00.4693390,10/04/2021 21:22:28,10/04/2021 21:22:29,00:00:00.9485450,First B,yes,Second 1,10/04/2021 21:22:30,10/04/2021 21:22:31,00:00:01.0163190,Second 1 B,70.0%,yes,10/04/2021 21:22:34
